year,quarter,EPS,BVPS,Revenue
2025,3,-60.2367762,6555.13170235,4382427269
2025,2,-498.9353149,6631.3204612,4047224374
2025,1,-79.84172435,7130.25577605,0
2024,4,-189.1915153,7210.0975004,54545455
2024,3,-175.5519399,7399.2890157,573578405
2024,2,-308.76823355,7574.84095565,1099276730
2024,1,-178.8858046,7883.6091892,148417503
2023,4,-181.75944335,8062.49499375,2856723394
2023,3,-179.18145515,8402.1032671,570076807
2023,2,-95.37405475,8581.28472225,2935326610
2023,1,-217.4256697,8676.658777,2266776053
2022,4,-180.9841664,8894.0844467,5387151117
2022,3,-148.052468,9443.0557711,8389739451
2022,2,-294.7024599,10019.8729862,10158641004
2022,1,-134.06228725,10019.8729862,8285319753
2021,4,-213.26466155,10019.8729862,8046382267
