year,quarter,EPS,BVPS,Revenue
2023,1,-338.1932583742441,3907.2521176823,3770756000
2022,4,-447.41431876968556,4245.4453760565,9357269000
2022,3,-1877.607890939804,7435.3422061316,55778452266
2022,2,-2057.5307827887364,7435.3422061316,28812469650
2022,1,309.8479292404967,8627.9983685547,28719683200
2021,4,760.5552928859249,6301.654026265,55516411500
2021,3,490.4685690908131,7106.1843339609,36231121150
2021,2,638.4031165502396,7106.1843339609,38056594100
2021,1,166.12719114567753,6467.7812174107,24625905450
2020,4,-655.2405916958468,6301.7230859918,20645265600
2020,3,-660.009573120304,6956.9636776876,14846998180
2020,2,0.0,0.0,23100389159
2020,1,-369.0714483879104,7831.3790401952,23388081750
2019,4,-622.8501950226696,8200.4504885831,20964425750
2019,3,-837.2949745737361,8846.8144812397,16290502127
2019,2,-802.0915410016834,9684.1094558134,18146548410
2019,1,25.02590047685242,10510.4733701677,17008634187
2018,4,-45.604439185186486,10659.7106394397,19833686259
2018,3,247.75067275489317,10705.3150786249,29957012855
2018,2,-125.40819593766312,10457.56440587,25862222300
2018,1,729.1099798818719,11785.8406119313,29544373784
2017,4,724.6123233798455,11056.7306320494,53014630055
2017,3,1479.173807429044,10332.1183086696,48043927950
2017,2,1227.7587537318248,8852.9445012405,43611008372
2017,1,625.1632709260791,7625.1857475087,22866256460
2016,4,687.4049682391652,7000.0224765826,26320925683
2016,3,-37.017350272445206,6329.2431205387,15934178050
2016,2,23.074310382244434,6366.2604708111,18999081983
2016,1,-225.87264403817164,6343.1861604289,10436847950
2015,4,-148.4470303766137,6569.058804467,16005817560
2015,3,-1070.802213287349,7262.5297038588,11005243926
2015,2,-1056.6972303848252,8333.3319171462,21357727119
2015,1,-920.8071193538738,9390.029147531,16425414447
2014,4,884.1674417718029,10310.8362668849,21347490631
2014,3,-318.5440111910753,9751.1983667951,22677864672
2014,2,-273.12519106356274,10069.7423779862,17901259209
2014,1,-255.02263260075193,10342.8675690498,20188882933
2013,4,-190.35167748822533,10597.8902016505,26164443181
2013,3,-709.9009657287983,10964.7276495223,23830808169
2013,2,-700.7541855090825,11674.6286152511,14127163674
2013,1,-568.7427090848305,12375.3828007601,23809142969
