year,quarter,EPS,BVPS,Revenue
2025,3,4.693460128256969,10873.6695501681,2041032710000
2025,2,5.131227065081869,10862.8924199089,1614307150000
2025,1,-201.97983921145564,10864.4201390555,1392705405000
2024,4,-196.3762258480243,11066.3999782669,3868356182000
2024,3,-313.89066616257054,11049.3467766369,3730896477000
2024,2,-326.9074832019661,11423.6614181459,3653560748000
2024,1,-653.4762235899269,11606.024675746,3092453999000
2023,4,-760.7638644951594,12202.035823105,3190743770000
2023,3,-208.73046688884088,13249.4779828316,3594754713000
2023,2,-468.29831672030514,13284.5044306837,3533019598000
2023,1,4.069726554230156,13753.0974582284,3788515137000
2022,4,-175.4409144432004,13720.9752657181,3901652742000
2022,3,-33.731365305918246,13738.3295221344,3532814296000
2022,2,160.22596604218174,13896.7343862982,4194158912000
2022,1,111.74418172818545,13039.5335629606,3934366379000
2021,4,424.2622740285446,12937.4369822968,3965775492000
2021,3,18.246360464655673,12648.731330461,3501501869000
2021,2,1.8616766680730192,12733.3093285388,3148972127000
2021,1,-266.4051968192087,12408.8746721551,2967392293000
2020,4,74.75670274181971,12748.6049525189,2418776459000
2020,3,416.5733932331426,11189.7425980031,2507334100000
2020,2,-200.3698035311108,11983.3828059649,1506703178000
2020,1,-193.2772942661335,12412.1812434658,1064809061000
2019,4,-121.47096439636252,12605.4585377319,1020854527000
2019,3,476.1280559698585,12726.9295021283,995262050000
2019,2,0.09327271118239586,13475.8794629462,1501800600000
2019,1,1.6334716996232137,13479.8160904232,1188212681000
2018,4,360.3871817503926,13483.6331005214,2177111034000
2018,3,43.90432837175202,13142.920584097,1449241028000
2018,2,203.63218666428693,13233.5022717583,1751614418000
2018,1,162.68737466212397,16287.3369181517,1487044395000
2017,4,153.69081960139522,16124.6495434896,1476842949000
2017,3,49.62090848678147,15974.3558558327,1369239786000
2017,2,27.359854438174036,15925.831751786,1382671823000
2017,1,62.00917826853461,15899.0766506815,1175890543000
2016,4,5.27107084500526,15838.4381031435,1241310664000
2016,3,51.48903517455399,15833.283542336,1062041146000
2016,2,83.4359230901565,15782.9326040669,939282628000
2016,1,15.929080051405618,15701.3409215136,806182898000
2015,4,4.823467570651049,15685.7639326725,1092140347000
2015,3,0.0,0.0,326496267000
2015,2,275.03201934953125,0.0,425738506000
