year,quarter,EPS,BVPS,Revenue
2016,2,0.0,0.0,51739684773
2016,1,0.0,0.0,56079706321
2015,2,-53.89983212493005,9341.6021499176,81027764894
2015,1,-77.14077164198818,9378.8749442812,74581522264
2014,4,-745.011591088163,9459.4157173399,96757532233
2014,3,-595.2356001815001,10992.5867525778,123812215752
2014,2,-245.30950712896131,11544.0850336188,89824141825
2014,1,-495.47054744606146,12055.4807200336,151550206777
2013,4,388.2384245993436,12683.696796457,198688371156
2013,3,50.69286562202734,12352.4890719538,207062027862
2013,2,-13.925362468901028,12305.2878744533,132679091902
2013,1,23.54399714333214,12339.9507073128,141114306535
