year,quarter,EPS,BVPS,Revenue
2025,3,601.1296422875582,12978.6591312417,5797205000000
2025,2,603.0653106271491,12379.7769858279,5263169000000
2025,1,568.9378787593462,11781.6460508587,4784173000000
2024,4,704.3762416523539,14053.0583429811,4475736000000
2024,3,658.1079248923047,13848.612409147,4324660000000
2024,2,734.7454490837902,13189.0179626276,4424665000000
2024,1,603.5165264856902,12073.674065499,4186646000000
2023,4,935.3261591700247,14405.663996496,5171291000000
2023,3,392.7340797460032,13436.632168764,4663326000000
2023,2,573.8668417120814,13036.3842068726,4981383000000
2023,1,575.8752826574937,12487.5859644262,4522340000000
2022,4,334.47945015096684,14944.7802445321,3687306000000
2022,3,645.2039657199246,14598.0624014167,3345455000000
2022,2,639.4852198212315,17941.3670062017,3107685000000
2022,1,785.4116204870868,17329.0936965096,2822420000000
2021,4,454.1554005022213,12224.7819126042,3004830000000
2021,3,542.6879995427863,15054.5193450496,2598322000000
2021,2,1073.0362308585404,16324.4616854541,2867673000000
2021,1,805.8222017322618,15262.9404865881,2583511000000
2020,4,1078.7017317589377,14456.8203312121,2619350000000
2020,3,323.5776569934563,13392.6460304163,2337165000000
2020,2,119.76956778340065,13148.3109146515,2157824000000
2020,1,374.04763591275685,0.0,1962790000000
2019,4,925.7419155385702,0.0,2080070000000
2019,3,0.0,0.0,1784465000000
2019,2,0.0,0.0,1524593000000
2019,1,0.0,0.0,1731705000000
2018,4,717.646762872348,0.0,1522014000000
2018,3,356.0909926829575,0.0,1370178000000
2018,2,482.56865064680323,0.0,1251143000000
2018,1,0.0,0.0,1103370000000
2017,4,911.0654628047581,0.0,1525968000000
2017,3,0.0,0.0,788280000000
2017,2,0.0,0.0,887534000000
2017,1,0.0,0.0,737627000000
2016,4,-502.1902139769877,11363.4007532191,905572000000
2016,3,0.0,0.0,807775000000
2016,2,0.0,0.0,747967000000
2016,1,0.0,0.0,737609000000
2015,4,-86.9465630157363,11302.3283063559,677826000000
2015,3,0.0,0.0,657766000000
2015,2,0.0,0.0,665475000000
2015,1,0.0,0.0,596950000000
2014,4,188.51681315,11104.0854510233,604742666300
2014,3,189.89215557333333,10914.5027622433,619034766894
2014,2,186.40275567333333,10861.5502376,591772263404
2014,1,59.07205005,10861.5502376,562525303402
2013,4,320.4228441166667,10861.5502376,461946348183
2013,3,8.41713018,10478.49979142,365026195920
2013,2,35.88624292666667,10478.56377539,359761574300
2013,1,91.87074762333333,10922.8447787733,367386343223
