year,quarter,EPS,BVPS,Revenue
2025,3,240.49803110999574,11554.9736550295,56157933693
2025,2,507.2314384306508,11314.4756239195,66373694367
2025,1,197.98803259717806,11477.7930415667,59867477247
2024,4,176.53685507408028,11279.8050089696,45133279137
2024,3,123.38172448088041,11103.2681538955,46381024092
2024,2,174.37370833565706,10979.8864294146,50715944970
2024,1,312.00808023348765,11531.4676698641,65810734298
2023,4,218.86669826929153,11219.4595896306,59736748805
2023,3,317.4466521666388,11008.6053779302,72147641647
2023,2,235.04914394066142,11263.0179639544,57780346433
2023,1,230.90609814474,11234.6162137267,47637982611
2022,4,156.30431840574053,11003.710115582,54692161045
2022,3,5.166750227724797,10724.5514154258,37374262795
2022,2,357.78784753592475,11269.3846651981,53182652262
2022,1,250.77788225233766,10996.4437734464,46638727355
2021,4,135.30781816407338,10745.665891194,46731081596
2021,3,160.47799546409385,10610.8487997044,52755209183
2021,2,148.91653110070084,11250.3708042403,54240710937
2021,1,291.3250304872381,11188.4928531129,60064921236
2020,4,169.63929949064004,10895.3670427844,53859468092
2020,3,72.58738441804695,10725.7277432937,45199853581
2020,2,149.83616023460303,10653.1403588757,45977835093
2020,1,125.11224429758519,10552.8459605804,50521128758
2019,4,96.20870457122673,10427.7337162828,46408391858
2019,3,92.02068150131058,10331.8518853289,48588130627
2019,2,165.43720939527446,10839.8312038276,44074987683
2019,1,58.01784395739222,10831.2455074545,38676313033
2018,4,173.75680938969754,10773.2276634971,49397627512
2018,3,168.91109865595897,10608.7571881565,41655284701
2018,2,225.82215627498002,10439.8460895005,39986051486
2018,1,188.31276258063318,11168.9647247783,43691434126
2017,4,283.728559896269,10980.6519621977,46998951020
2017,3,283.803879779897,10697.5776015467,40893275229
2017,2,245.38383925417804,10413.7737217668,40301939046
2017,1,160.99768789619466,11086.8764955013,37649316470
2016,4,270.4510035227632,10925.8788076051,45348774497
2016,3,0.0,0.0,36726197785
2016,2,0.0,0.0,42826278769
2016,1,0.0,0.0,39274685858
2014,3,0.0,0.0,36792121869
