year,quarter,EPS,BVPS,Revenue
2025,3,14.3034088677997,18114.3532417174,6744545303
2025,2,1.0662663696546104,18098.505908224,9420654522
2025,1,1.2468604393609233,18097.7816792756,13629076538
2024,4,-0.2709750254580693,18096.5034889199,10791234422
2024,3,4.394442919936088,18096.7744615691,11472496626
2024,2,4.016697628025297,18092.3800210254,14762657269
2024,1,0.9932384346433616,18121.0214141912,27700104043
2023,4,76.93756076477592,18120.4667130159,82333490880
2023,3,3.8621616587773566,18115.1071264173,16949361281
2023,2,4.913370509594194,18111.2498890099,179702152238
2023,1,2.5192307252625668,18104.683879335,14050702247
2022,4,142.96370579632276,18103.817287775,176191537908
2022,3,3.090048746605362,18096.7586584218,121009920163
2022,2,2.544638834374611,18093.6686096752,93368410998
2022,1,15.700674776740508,18091.4968068175,75792087944
2021,4,30.824625709347746,18204.6225397925,7165799166
2021,3,1725.7659331571117,19195.7491495365,5585219768
2021,2,1662.0605113620825,22485.4443252182,390287751594
2021,1,413.94274933151365,22434.9286326263,162192831409
2020,4,2321.1766688030693,22472.4617299142,2145576238491
2020,3,982.2556217823927,26000.3006749042,1308651081345
2020,2,1006.6534713056155,20864.5162984947,285462197053
2020,1,55.63478093350994,23101.6978727762,146337474398
2019,4,36.90809573973158,23084.982792334,60051752875
2019,3,1274.2291684972606,23091.4425343675,145470805982
2019,2,2438.181098869908,22049.0998625865,110200589672
2019,1,47.77315040637687,21118.1422240181,15413964607
2018,4,849.0408415976773,19088.9453392899,512293319885
2018,3,305.8219776149098,18795.9669759499,133754689286
2018,2,157.6722694599835,18481.3967355383,94100146868
2018,1,235.54052531969572,18343.6210920918,399225850289
2017,4,184.57623816338122,18124.7640564659,252138249552
2017,3,94.17856436211719,17968.6020570399,531281526474
2017,2,144.84663522952403,21951.2117109828,265525022600
2017,1,332.3528004259335,21734.4150889795,9561881417
2016,4,688.7752736925582,21259.9966150559,10264379343
2016,3,4.601663460481572,20623.1273205112,9902831896
2016,2,10.074894262466957,20618.0895443338,10512215127
2016,1,24.37428403727626,21615.2642628581,10546938640
2015,4,-3.4714838317136976,21642.6788171903,9851929154
2015,3,39.51342775575868,21735.7642157054,14021792871
2015,2,687.7037150964735,21542.011836502,34220603467
2015,1,10.583087271277272,21821.6131767008,38702793264
2014,4,0.598534902667157,27059.0253898411,86728879510
2014,3,175.23858840737137,27118.0668114428,63869027956
2014,2,13.426416339130078,24216.6143831488,63659968739
2014,1,441.0888129738083,27931.7151235681,31959342974
2013,4,437.03429935164553,36667.0864781138,64060077392
2013,3,35.28080557204125,37866.6142905054,28412877906
2013,2,136.47697553228747,65182.1485898889,76488174704
2013,1,101.58979905523053,68448.5086949444,34556116376
