year,quarter,EPS,BVPS,Revenue
2025,3,2048.878223889446,17502.1366117427,153030733640
2025,2,1231.3342744803572,15453.2583878533,112249942164
2025,1,-62.62150907829666,16721.9241133729,39089137160
2024,4,474.41363254681164,16784.5456224512,82456319599
2024,3,2040.0283643464131,16310.1319899044,151909075430
2024,2,730.5817142110767,14270.103625558,86722033805
2024,1,-8.514862635406358,15539.5219113469,43886378272
2023,4,321.21855226111313,15549.2369189598,70851489541
2023,3,1794.3535914538477,15279.9528790478,145377991648
2023,2,377.6887061357012,13485.5992875939,71273942576
2023,1,-364.7759546153175,15107.9105814582,37977125681
2022,4,444.5937438442564,15472.6865360736,82452077802
2022,3,1937.1841684875533,16088.7184893935,157077569658
2022,2,1532.8962492869139,14151.534320906,135778925466
2022,1,577.090456267117,12618.6380744794,86831314606
2021,4,928.7964659330847,15202.7670935249,117060533353
2021,3,1708.866207937919,14273.9706247315,146576412557
2021,2,563.3756439777925,12565.1044167935,88194193018
2021,1,-175.5625633376512,14001.7287728158,48284386425
2020,4,558.9550363483909,14296.834809265,96461727499
2020,3,1969.7387329789437,13746.713948385,165095543702
2020,2,715.3340359315405,11820.3614519234,96238454642
2020,1,-574.2999989598743,11105.0274159919,33363317676
2019,4,27.409595859179788,13757.2658621561,65176037065
2019,3,1669.7273193801811,13731.4822691781,150800392492
2019,2,335.43695710441824,12061.7549497979,78316680973
2019,1,-60.27202758093178,11726.3179926935,54777366944
2018,4,366.8827765994132,12808.1126202045,91860603726
2018,3,1362.9658511548196,13437.884726695,135698361444
2018,2,625.0544170735825,12074.9188755402,88280222074
2018,1,99.4828223849441,11449.8642836518,68925861476
2017,4,657.5968608207871,13298.7993619234,128253365254
2017,3,1349.0521286351172,13089.3162516882,150281315948
2017,2,724.9050488987988,11531.161063632,104974661720
2017,1,-363.5652867770376,10804.303495384,51090599620
2016,4,486.22524061724573,11763.5261163265,110452679832
2016,3,0.0,0.0,121853085262
2016,2,0.0,0.0,102481873237
2016,1,0.0,0.0,65827664834
2015,2,0.0,0.0,82861729802
2013,2,4.564628397108767,10637.5478411835,0
2013,1,-0.8039807319884578,11116.8614819179,0
