year,quarter,EPS,BVPS,Revenue
2025,3,433.5204595506156,11651.5510811529,97292349366
2025,2,303.1369917654059,11624.0430263113,75371413075
2025,1,701.5417347432666,11320.9060345459,96589818687
2024,4,226.23294360640477,11681.237505716,40488147283
2024,3,268.6215012183494,11455.0045621096,24678884515
2024,2,664.2424391708162,11186.3830608912,60788165139
2024,1,279.81669612363106,10546.9015732011,34398482492
2023,4,122.50582975218212,10267.0848770774,27553888028
2023,3,1.4295058248440053,10148.0018254387,7913672065
2023,2,2.4815453501308373,10146.5723196138,17808537471
2023,1,16.735895844220632,10144.0907742637,19925616633
2022,4,3.798320241700439,10127.3548784195,36078678397
2022,3,12.088466282485253,10123.5565581778,26109036853
2022,2,12.941763984510079,10111.4680918953,21631330911
2022,1,15.568022588046052,10098.5263279108,24456987272
2021,4,17.864264702953346,10078.0710890604,42772258183
2021,3,17.832786703916376,10096.2135794754,27190971494
2021,2,18.72039791510694,10078.3807927715,26911423638
2021,1,21.46229099942916,10059.6603948564,25602979091
2020,4,646.4693601336759,11689.3728732678,94259821094
2020,3,281.98842334209223,11049.8614855312,22005824544
2020,2,347.76477725273156,10767.8730621892,27545219909
2020,1,298.19520913622034,14409.9775336835,17756028546
2019,4,2677.737413163346,14121.4045111102,80227903838
2019,3,600.2583503253702,11447.4809098396,38670991752
2019,2,460.6704033397235,10847.2225595142,24642452249
2019,1,206.40489013571715,12048.3176931906,26470691003
2018,4,646.466607735761,11841.9128030548,42022739769
2018,3,637.9136366580794,11206.4749781168,26045507388
2018,2,334.49397041163604,10568.5613413923,18419364110
2018,1,199.98011311146212,12071.9715597896,18187217181
2017,4,452.1714414196179,11836.0776428866,27662592218
2017,3,402.62932350219205,11397.0723487631,16441964758
2017,2,659.657361910038,12543.8844843966,30699934755
2017,1,308.0521607489406,11818.2615568966,17586448509
2016,4,342.01507086206897,11479.4042597414,37840735026
2016,3,347.58645818965516,10742.873534569,30889519764
2016,2,364.724941637931,11395.2870763793,40800369879
2016,1,355.0865123275862,11030.5621347414,40156854089
2015,4,184.97108646551723,10675.4756224138,41397773682
2015,3,367.7538394827586,11486.4232952586,43427243533
2015,2,325.60593905172414,11118.6694557759,32822267644
2015,1,260.05682939655173,10804.5370584483,31013000734
2014,4,455.1228918103448,11014.8240698359,31264332058
2014,3,5.507108885116016,10416.1629420487,6062975910
2014,2,11.170700962082625,10410.6558331636,12418394837
2014,1,7.6570543293718165,10399.4851322015,7810498373
2013,4,10.642559252971138,10391.8280778721,11086985259
2013,3,11.516026032823996,10381.1855186191,10238295452
2013,2,13.802153480475383,10369.6694925863,11108698311
2013,1,9.548867572156198,10355.8673391058,8247238178
