year,quarter,EPS,BVPS,Revenue
2025,3,110.66939535997204,17047.2175133261,3789398683187
2025,2,204.6468480285249,16937.2495202475,3827079691427
2025,1,146.13282587747258,16793.3315753265,4108300018473
2024,4,41.14498397182367,16647.8064744185,4498919760119
2024,3,144.88971102434164,16606.6149816279,5208824762566
2024,2,834.2307211607499,21984.8460988162,5683527977833
2024,1,570.1581930495121,21168.453351461,5316244691378
2023,4,85.2696280521268,20598.2951584115,4465986967155
2023,3,89.86511640103838,20569.1827155191,4268428310383
2023,2,476.283261058473,20441.4871429953,5506695316549
2023,1,-187.14193140154018,19983.0360797332,4380101973620
2022,4,-1353.5109110412443,20205.4636351345,4320863226776
2022,3,-1590.2827007947642,21779.1889516847,4437556406446
2022,2,765.1862129920667,23369.4716524795,7206140590526
2022,1,1925.235216780863,23691.1844990572,7163768766837
2021,4,2061.7856910807186,26131.4544885498,8794902421464
2021,3,2765.1632811842237,24101.302350916,7534015087344
2021,2,3880.2806695921195,20931.2155038855,7016342279063
2021,1,1751.5816232350235,19229.7270614009,4860890067880
2020,4,895.2525337810143,18494.3174644239,3438525405520
2020,3,480.3589258975478,17899.8072059509,3386235079715
2020,2,100.58279892400847,17419.4482800533,2330458411710
2020,1,241.23266362623022,17780.8634470522,2458772195862
2019,4,39.31511427250046,16575.9141073608,3206852856788
2019,3,34.11760389298744,16536.5989930883,3083939349476
2019,2,744.9447539269644,16502.4813892008,2976999285806
2019,1,-558.3019292629377,15766.8581052762,2956268026821
2018,4,-952.8998782350765,16325.1600345391,3474430536618
2018,3,4.032083001290968,17278.1906681328,3482289506350
2018,2,598.4317818571166,17274.1585851315,4310634832640
2018,1,665.5266686786828,23550.6241867231,3593260439408
2017,4,1157.9915519153847,22618.8875263385,3325929196007
2017,3,1582.6688796461538,21180.16476675,3813078871214
2017,2,1502.2566421384615,19210.0607579263,3105136136995
2017,1,1559.33099828,26249.6659703575,2393404925788
2016,4,994.1934179540254,23888.2726371502,2459222855931
2016,3,2229.4748870516064,21780.6995126609,2506786021052
2016,2,4812.165711239922,18913.8671256939,2176273316025
2016,1,1316.9148438809882,14103.3003156571,1799602155839
2015,4,464.6769856219409,14576.4363794694,1829012099520
2015,3,850.5485407355493,14121.6658626722,1427282346016
2015,2,1044.9795028163053,14315.7691289474,1322226851327
2015,1,474.59281815650235,13205.9496675689,1177638603993
2014,4,520.5352340350877,12693.3894239599,1459040899623
2014,3,568.4550042606517,12206.2042610777,1384621191768
2014,2,611.6908180701754,11637.7492518045,1531591197011
2014,1,338.55455307692307,11369.2217894983,1469296710592
2013,4,447.07355511705686,11030.6672364214,1497065786592
2013,3,64.63829160535117,10748.0762549498,1129834154965
2013,2,500.8944699331104,10643.2736425084,1173635482004
2013,1,845.2051111705686,10141.7771658863,867836863989
