year,quarter,EPS,BVPS,Revenue
2025,3,224.77456204232985,11132.5877428961,37585147939
2025,2,213.64932881816142,10907.8131808538,35764437069
2025,1,134.20594346996705,11407.330057961,29887877111
2024,4,83.80785282635075,11273.124114491,31427211995
2024,3,275.7841732460045,11189.3162616647,36858492767
2024,2,307.8204341051331,10913.5320884187,35658113650
2024,1,185.04530607995122,11252.8863549729,29647563992
2023,4,133.2416399712969,11067.841048893,32693745873
2023,3,295.4155990259895,10974.7521527894,35856218214
2023,2,286.861571226899,10679.3365537634,33870199095
2023,1,93.68763236929755,10938.7543520669,26658217810
2022,4,89.30774180038728,10845.0667196976,28173765668
2022,3,257.4257128934747,10801.5185253175,34304534536
2022,2,209.13939672449612,10544.092812424,29841956662
2022,1,146.43753997340949,10721.6224410344,25521486445
2021,4,37.47947575083847,10575.184901061,26280546885
2021,3,208.71067765651526,10537.4016937931,31032169035
2021,2,114.08098209400191,10328.6910161365,27918903478
2021,1,60.916729192527264,10599.8093374286,21641099772
2020,4,44.72453558878351,10538.8926082361,22521825628
2020,3,184.15254027172284,10635.2846015056,28352720244
2020,2,122.09962772350228,10451.1320612339,23407030551
2020,1,65.16169953646515,10522.921973936,19998417935
2019,4,8.159424577909814,10457.7602743995,21098752349
2019,3,123.3256300389711,10450.7842986653,26328140971
2019,2,172.7994596001301,10427.4586477328,23896744974
2019,1,64.80728411573072,10456.5485139352,18546568476
2018,4,-1.3585135149879828,10391.7412298194,19400674244
2018,3,110.5748555269572,10392.1509907254,22624541390
2018,2,160.82103218278786,10363.6917883271,21008491516
2018,1,60.03764029723618,10378.7379485466,16879628269
2017,4,-42.27061351101821,10318.7003082494,17867914426
2017,3,115.88103646364257,10376.3378338991,21203631237
2017,2,146.942721397843,10260.4567973774,19503141253
2017,1,66.31980039238073,10266.3506650879,15852311295
2016,4,7.113847984620495,10200.0308646955,14840170828
2016,3,0.0,0.0,18213231386
2016,2,0.0,0.0,16853794050
2016,1,0.0,0.0,13129781626
