year,quarter,EPS,BVPS,Revenue
2025,3,206.26618434042553,9413.254021234,339914504565
2025,2,471.72372642553194,9206.9878368936,417692272620
2025,1,745.8759064680851,8735.2641104681,396561722755
2024,4,112.34725425531914,7989.388204,385097720397
2024,3,193.59207378723406,8013.3000310638,285232243003
2024,2,743.0629611914893,7819.7079573191,303952991293
2024,1,343.07618174468087,7076.6449960851,259509405375
2023,4,167.85854127659576,6733.568814383,182202588019
2023,3,-6.076430212765957,6517.181830383,171977224745
2023,2,-487.8023419148936,6523.4039202553,243840995586
2023,1,-423.79462127659576,7011.2062621702,203777708036
2022,4,-129.4291809361702,7435.0008834468,170266479234
2022,3,45.146512765957446,7558.7119327234,178445415530
2022,2,22.351729063829787,7513.5654199149,195823751775
2022,1,115.07038791489362,7512.0647547234,210521105515
2021,4,280.281669787234,5269.3347923404,194457646021
2021,3,9.230593027027027,6337.3715213514,133833949302
2021,2,248.04748264864864,6080.0934456757,160093508820
2021,1,-500.9290168648649,6080.0934456757,148860051940
2020,4,200.42212967567568,6586.8594662162,223729813347
2020,3,-500.84136356756756,6386.4373365405,154830445647
2020,2,-410.3406911891892,6887.2787000541,251308049509
2020,1,-666.0030312432433,7297.6193912973,190384980458
2019,4,-1070.370574864865,7963.6224224865,290256829941
2019,3,-63.6863374054054,9028.014496,177101480582
2019,2,-84.92300481081081,9091.7008333514,288544712987
2019,1,0.0,0.0,285863031998
2018,4,-1810.859310864865,9606.0617665946,225193504854
2018,3,0.0,0.0,198630836494
2018,1,0.0,0.0,182446440106
2017,4,-99.43471745945946,11213.475194,255312626785
2017,3,0.0,0.0,211096428526
2017,2,47.81146983783784,11298.4110196757,238123013448
2017,1,52.98283832432433,12283.3015915676,186066323316
2016,4,684.7207941621622,12251.798085027,265785612206
2016,3,203.35973886486485,11614.5550093514,260084913598
2016,2,151.67677913513515,11408.7480178378,272777978574
2016,1,45.02909010810811,13010.6171123243,249561228385
2015,4,26.565572972972973,12965.5880222162,338047516093
2015,3,0.0,0.0,315407180219
2015,2,0.0,0.0,351393712655
2015,1,0.0,0.0,302181709828
2014,2,0.0,0.0,366237319899
2014,1,0.0,0.0,282376998991
