year,quarter,EPS,BVPS,Revenue
2025,3,98.62764722328058,7062.5660884849,2445422000000
2025,2,265.15862062831246,5315.3745242372,2274861000000
2025,1,128.35245728645617,5315.3745242372,1841152000000
2024,4,-4315.860421637435,5187.0220669507,-1285225000000
2024,3,-55.69825968525204,9546.4532471562,1435367000000
2024,2,86.09319537303915,9160.6988875235,1355139000000
2024,1,-75.24915603677675,9074.6056921505,1423410000000
2023,4,-783.4162893063402,9149.8548481872,1434361000000
2023,3,-437.79351586684373,9933.2711374936,1520297000000
2023,2,10.793752303898144,10371.0646533604,1729920000000
2023,1,7.916615666486359,10360.2709010565,1749041000000
2022,4,325.00329420471206,10352.35428539,1573109000000
2022,3,-352.3486640182151,10027.3509911853,988979000000
2022,2,-9.238446231489526,7685.751492833,1072394000000
2022,1,36.59818376852518,10388.938101435,1128812000000
2021,4,-292.78726611364306,10352.3399176665,1178041000000
2021,3,114.70472082285633,10645.1271837802,1492423000000
2021,2,194.0445033489835,10726.0042424356,1321279000000
2021,1,53.143582531881655,10531.9597390866,1550772000000
2020,4,-49.00645086986413,10478.8161565547,1768558000000
2020,3,6.863262982978565,10527.8226074246,1479519000000
2020,2,15.675869642712861,10520.9593444416,1350896000000
2020,1,29.446643006124724,10616.0592925155,1359801000000
2019,4,59.33575998679677,10586.6126495094,1561585000000
2019,3,6.268381306087156,10527.2768895226,1324783000000
2019,2,14.264869301656379,10521.0085082165,1260730000000
2019,1,22.087214890211115,6725.9457569772,1144175000000
2018,4,52.79904030792087,6703.858542087,1237620000000
2018,3,4.2765542913169705,10784.8249121563,1209457000000
2018,2,5.845408065115104,10780.548357865,1171496000000
2018,1,36.19785741472141,10726.5259370092,1120293000000
2017,4,48.64790470743208,10690.731163478,1271660000000
2017,3,4.91148654666568,10642.6283030852,1055285000000
2017,2,-11.149947912710937,10637.7715087555,1076075000000
2017,1,31.34684060666037,10755.0288750043,1034466000000
2016,4,18.44662970433738,10724.0310994294,994042000000
2016,3,1.1925976224803805,10713.7627333055,934559000000
2016,2,-4.575543554417686,10712.5834159409,876153000000
2016,1,29.41180897131192,10717.3804138972,756259000000
2015,4,27.604435673017708,10688.0232791305,740947000000
2015,3,2.1475544364712182,10673.918692247,748585276421
2015,2,-48.76137998151722,10672.9006137972,637799836220
2015,1,52.46174758915215,10721.1190155614,623952226085
2014,4,-6.6294711358318565,10669.2414513197,583253189365
2014,3,22.995249369676884,10810.088558117,676238144845
2014,2,0.888504320388133,10771.2059185247,627862047494
2014,1,8.258170926396932,10770.3174142043,566975694225
2013,4,45.81594263964223,10762.0592432779,514849351425
2013,3,8.273394737396588,10745.8329448724,532374440150
2013,2,-65.90630281863696,10742.3346591928,367341118265
2013,1,73.33853055955149,10772.3619829884,714089011417
