year,quarter,EPS,BVPS,Revenue
2025,3,593.81395265,8000.258991275,699721764057
2025,2,-68.750915505,7406.040355655,188541330397
2025,1,-105.94299304,7600.65339472,133956239030
2024,4,318.04782001,7706.59638776,141945935212
2024,3,703.99238529,7386.351160205,599982541229
2024,2,-35.707567495,6853.97104646,158015388911
2024,1,-97.390407525,6896.692261925,118632113455
2023,4,-54.42089846,6994.08266945,133683690543
2023,3,661.92637598,7196.71241758,576858573161
2023,2,236.001150055,6608.27143908,148250083261
2023,1,-62.934235205,6382.937771795,130389638930
2022,4,-30.87949679,6445.872007,163190869014
2022,2,-26.395633385,5841.97383464,153900557631
2022,1,-140.186662725,6426.63247176,95073034556
2021,4,0.12956094,7953.174450185,105741402586
2021,3,-115.492937945,7907.829202345,82399544840
2021,2,-50.641731335,8020.025124885,119370231779
2021,1,-142.75313466,8107.94536631,99015161607
2020,4,232.105718135,8248.13296908,403345152439
2020,3,-64.730345025,8017.77417867,233227226136
2020,2,189.741135145,8098.78564989,109470815069
2020,1,1096.733253375,7960.845888525,142922759833
2019,4,-0.343323075,6172.401811745,193744056409
2019,3,471.75345037,6404.197631105,580418496608
2019,2,-208.36301803,5933.305575525,211026167260
2019,1,-59.934908775,6146.64395434,192630547565
2018,4,-151.9476411,6206.57886311,197685621613
2018,3,416.86847585,6352.55287682,523767511244
2018,2,-84.87433931,5935.683560365,207294847953
2018,1,30.68923449,6037.105570625,203355522233
2017,4,-199.35333935,6008.927850335,218671000460
2017,3,378.47987322,5338.929035015,473019473776
2017,2,-225.71559801,4960.44916178,207964336725
2017,1,17.11214619,5252.91362059,192240528312
2016,4,-525.491897655,5250.796316535,192549907774
2016,3,273.95324607,5726.572011655,418950869911
2016,2,-441.6032456,5176.634039185,199830291410
2016,1,-78.01557472,5624.627514485,178947287913
2015,4,103.46542849,5709.831267785,132602615179
2015,3,681.199747965,5858.673887535,308458855335
2015,2,-331.867773815,5341.243184035,139262477823
2015,1,-60.32726265,5645.7749223,137872689881
2014,4,-118.65325865,10198.107620595,149820436361
2014,3,230.14991764,10314.10678942,309226924394
2014,2,59.724438885,10090.592199395,167153470893
2014,1,-36.31947426,10747.978148055,156202220608
2013,4,171.50475213,10781.12242019,157815527709
2013,3,99.635432445,10634.65703213,251989526666
2013,2,360.156852875,11100.92265689,141303977818
2013,1,60.08585415,11219.16871987,119448652863
