year,quarter,EPS,BVPS,Revenue
2025,3,357.7769686303452,10902.1157289769,359392934617
2025,2,348.8673513110505,10658.4791315447,361683514870
2025,1,249.1728519524053,11231.9268715197,325509455331
2024,4,244.31011784765045,10982.7540195673,239044767952
2024,3,230.57532168751516,10852.5842729178,217115521354
2024,2,270.0387007196094,11303.1271780551,163882676339
2024,1,291.5313222294536,11237.0071567154,192997495178
2023,4,174.65307302404184,10945.475834486,201200300586
2023,3,311.4115417259531,10856.4280398606,202533131068
2023,2,300.8666778257903,10545.0164981346,187640757360
2023,1,164.59266520277836,10945.5604404654,135927500533
2022,4,230.59965869746205,10876.0010483222,175883726375
2022,3,168.56842766616498,10725.2996494635,167165834220
2022,2,237.87302676979783,10556.7312217973,262992172220
2022,1,144.26776686189996,11142.1962049582,213282478423
2021,4,345.67451286601676,10997.9284380963,305452703503
2021,3,191.30257117165775,10736.9232290722,193933632779
2021,2,204.0214006918276,10545.6206579005,196208591203
2021,1,167.00882904306312,11048.2568968178,163947865194
2020,4,209.59928779832583,10881.2480677747,97042921103
2020,3,125.99836083012923,10809.7586792338,81715307012
2020,2,252.1938222208931,10683.7603184037,89794214800
2020,1,256.97606801716034,11203.06460579,85316612796
2019,4,164.82076269280876,10946.0885377728,87504554998
2019,3,273.7849601684347,10881.4194399543,88162564742
2019,2,232.9289893372348,10607.6344797859,88939954821
2019,1,200.11506228297634,10944.6232390138,72448478080
2018,4,254.25422399271693,10847.2345108092,92541313001
2018,3,701.3898586508471,10592.9802868165,463965932942
2018,2,355.46576804713357,0.0,163527582133
2018,1,146.89561149676607,11025.7040989468,158022517781
2017,4,270.56154169171094,10811.9256973236,168788532849
2017,3,0.0,0.0,132404076511
2017,2,0.0,0.0,138709475903
2017,1,0.0,0.0,166059828014
