year,quarter,EPS,BVPS,Revenue
2025,3,225.7013769,18802.813753,615212048187
2025,2,1361.5986964,21077.1123761,1561318397559
2025,1,667.1315951,20152.447889,1006707554176
2024,4,539.0309416,19485.3162939,543180952610
2024,3,501.5293113,19154.4016542,729804604957
2024,2,1075.5584525,20052.8723429,1207678140246
2024,1,655.7628041,19323.5738904,735931124614
2023,4,287.2822183,18667.8110863,571557640069
2023,3,547.2417746,18596.3242361,817587114738
2023,2,725.7829694,21049.0824615,1145650443653
2023,1,533.5987326,20575.1758325,695476515527
2022,4,-188.6360675,20041.5770999,637806070104
2022,3,376.5513315,20324.6482692,887662701841
2022,2,1628.5259226,22448.0969377,1009653801507
2022,1,1153.3759939,21491.9849584,983763334048
2021,4,3876.3412192,20338.6089645,1007105814969
2021,3,864.8598503,17301.320759,712286783770
2021,2,1037.6519832,17636.4609087,852018568160
2021,1,802.0806802,16837.0821918,489919987547
2020,4,319.6651244,16035.0015116,376606292973
2020,3,151.3366558,16015.4625532,505482962956
2020,2,560.8279457,17064.1258974,662802196533
2020,1,251.286118,16503.2979517,351264102240
2019,4,447.8815193,16252.0118337,583308050471
2019,3,405.238807,16170.9653633,526068997488
2019,2,433.2536941,15765.7265563,513766652851
2019,1,270.2761423,15332.4728622,324421905344
2018,4,596.3772594,16282.3967199,682567745279
2018,3,266.332622,15936.0151368,599023171401
2018,2,321.2911006,15669.6825148,663950801230
2018,1,148.8041522,16251.4498044,423535308036
2017,4,615.9046562,16102.6456522,325342382333
2017,3,339.2631203,16437.4577764,540028847270
2017,2,138.8304331,16098.1946561,702993041035
2017,1,659.5856922,15959.364223,485061301416
2016,4,707.5747494,16099.7785308,340378606774
2016,3,546.4092868,17187.732259,430453729213
2016,2,768.7177389,16641.3229722,732541918873
2016,1,494.0598173,16812.3944928,517787165517
2015,4,1205.5706281,16318.3346755,581356419033
2015,3,0.0,0.0,569648538641
2015,2,0.0,0.0,778199695584
