year,quarter,EPS,BVPS,Revenue
2025,3,2344.7498593992514,18025.496046849,122030678137
2025,2,1796.626595275568,15680.746184195,126733766769
2025,1,547.7923646526294,15517.1463144534,72205506635
2024,4,-246.924125764129,14969.3539498008,83221212612
2024,3,927.1695639979479,15212.6476224809,94646377903
2024,2,262.2194359337018,14285.478058483,67787893987
2024,1,113.99819180310261,14635.6102279006,62271714738
2023,4,127.00464052616947,14521.612586267,72257082504
2023,3,134.3862346058875,14401.1844115044,68785577926
2023,2,529.9305293692546,14267.8780979443,58874634729
2023,1,-508.87746573196955,13797.1766728795,35311797221
2022,4,-556.5564730160479,14306.0541386115,67611308310
2022,3,117.27011729879109,14906.758320809,79818658594
2022,2,332.0541316530305,15785.9870817906,81567811514
2022,1,190.7841953871731,15484.8526928396,56693908387
2021,4,-380.0963823604113,15294.0684974525,53270483658
2021,3,128.99513062934702,15587.6509278752,43409634716
2021,2,350.7707285795559,15606.6264992035,95844460644
2021,1,219.45179546398583,15246.142378867,70509481667
2020,4,50.64636950404272,15026.690583403,53571892223
2020,3,440.56327830553175,15108.6111184749,64074373617
2020,2,21.803373318080027,14666.4807379499,70679795405
2020,1,47.85827231281414,15928.1385300373,67645071409
2019,4,854.0055926045185,15880.2802577245,115763911691
2019,3,1076.990466085169,15071.8552746633,114341430635
2019,2,270.03213126941574,13994.8648085782,94927187968
2019,1,206.7287984115791,13724.8326773087,73948822820
2018,4,536.4095317374976,14762.1969906558,100358524368
2018,3,448.3102550948201,14225.7874589183,104370911105
2018,2,562.2741946363298,13777.4772039357,113860916503
2018,1,487.1152825129481,14427.9488846273,95114306128
2017,4,153.25473679461268,13940.8336021143,101601217375
2017,3,454.3821902650522,13787.8033326895,107916253283
2017,2,777.3691574650945,15206.6111201235,105543596540
2017,1,339.9826421997755,14769.2454967901,85217643696
2016,4,628.7065170370371,14395.2645903704,101699512681
2016,3,995.0832151851852,13766.5580733333,110390805466
2016,2,1062.945552962963,14771.4748581481,101828336425
2016,1,794.4199353086419,14042.0367092593,67357155458
2015,4,604.1493624691358,13247.6167739506,83214592775
2015,3,0.0,0.0,89176032205
2015,2,0.0,0.0,102251496261
2015,1,0.0,0.0,68792264460
