year,quarter,EPS,BVPS,Revenue
2025,3,985.7009960755,22014.9718725913,5633705162505
2025,2,432.7367737906208,21049.949271131,4829968376394
2025,1,337.714282457497,20647.2864075025,4098174272344
2024,4,338.9380067944858,20322.8837536237,4659615786726
2024,3,449.13725099810836,19556.0656671108,5756081463989
2024,2,285.1755425310988,19588.6502958323,4597807646778
2024,1,329.10273436162925,19052.0875514939,4358674588151
2023,4,211.9220470307138,18994.9131868066,4550305272008
2023,3,389.44652099385087,18534.9607425005,4324657582766
2023,2,35.243030595031875,18433.5713607799,4590688363986
2023,1,329.6142775737415,19573.3342054032,4316856074032
2022,4,5.3415770302433945,19580.2258344036,4819037035879
2022,3,530.4972695626765,19084.1729758178,4631705572709
2022,2,159.74189316692784,20927.5786019087,3529765476579
2022,1,754.721382572145,21028.4946862568,4939177000642
2021,4,488.0527794741755,20216.9332153157,6125732325750
2021,3,612.8469747307091,19350.7970088946,3993044146240
2021,2,578.7057379338927,17715.0599922478,3474036939654
2021,1,572.5770227789884,19009.2722363689,4309432171941
2020,4,330.6222183194639,18463.4202347349,4271823478332
2020,3,587.5479685875848,18363.549798204,4426012322220
2020,2,261.5061828378628,17724.5028914501,2548313274708
2020,1,359.90236287138754,18437.9170171172,2881566651128
2019,4,458.60524857753484,17782.5299419312,2315416069809
2019,3,319.7709490341903,17142.6138572424,2554732717030
2019,2,335.43637794572754,17024.9366779699,2399459567435
2019,1,391.29690282583135,17710.8878653705,2524350373059
2018,4,852.882250265834,17378.7164989092,3081864969820
2018,3,332.7822727738235,17220.9345708485,3241801684557
2018,2,306.08789272259787,16971.988589788,2390245522617
2018,1,415.5513868669328,17616.3856510529,2534799891622
2017,4,282.5831521788583,17283.669343649,3467398868652
2017,3,319.6937599535077,16949.1163287133,2875238162431
2017,2,416.77205494532546,17702.5282378349,2386293627842
2017,1,482.5691312520523,17314.309064211,2364335273276
2016,4,281.9942883453608,16923.7882493448,3590780658074
2016,3,382.7161917343213,16632.8363922204,2298928192294
2016,2,500.2730099901474,16789.9898580399,2528032821437
2016,1,494.1906440572764,17163.3791528367,2363936665668
2015,4,528.9241441270915,16731.3053074958,2863500804127
2015,3,394.94272956384793,16578.7277627867,2766271926078
2015,2,810.8266290247991,17044.337136075,2929716482969
2015,1,384.22392518629863,19696.9220601787,2541310477427
2014,4,588.8255762578391,19356.0453074654,3087136811825
2014,3,659.6223701354486,18990.4239862547,2954233893485
2014,2,811.1132625927092,18325.7727208127,3154956802996
2014,1,574.2927674894762,18232.4886933937,2574498439950
2013,4,366.91112422324676,17660.1012415882,3162911875338
2013,3,578.1475578162137,18685.630387675,3008090999900
2013,2,659.334244208356,18124.6876430228,2772997407097
2013,1,665.1192008104006,17619.6277853441,2802878027334
