year,quarter,EPS,BVPS,Revenue
2025,3,449.82866459223044,13976.6558856307,1179111233702
2025,2,513.8891904668741,13526.8272210219,1203143063546
2025,1,422.9506379964562,14804.6469185208,1149234493430
2024,4,306.03673706110374,14388.0033359361,1219016039073
2024,3,484.82924640224024,14081.966598875,1088576401285
2024,2,555.8494015134585,13597.1373524728,1031641498936
2024,1,449.81799520826274,14615.9493169168,1023703866574
2023,4,354.15704790005384,14170.9558139444,1029785732072
2023,3,286.5991082426648,13816.7987660444,802248741423
2023,2,464.6532883344574,13530.1996578017,813404180270
2023,1,474.0011366226829,13705.2918603195,978221436759
2022,4,533.668566341149,13236.0399388392,1014122293801
2022,3,488.94710865400543,13902.3713724815,973693506074
2022,2,479.8348848349794,13413.4242638275,1105086064546
2022,1,508.68317746887453,14670.399651968,995861710581
2021,4,469.54090508364493,14167.2210134741,1004698608758
2021,3,159.42094857438235,13697.6686274125,763989546653
2021,2,807.2598917935471,13544.9448082456,802870898929
2021,1,553.0692161002571,13243.7242420755,850102250788
2020,4,483.1453928729848,12696.9708652829,1304402059785
2020,3,555.5904361478596,13400.750247488,690529081595
2020,2,620.9806141388649,12845.1598113402,590309294609
2020,1,271.1055979864528,14443.6969276484,772220320224
2019,4,573.2919699164484,14178.1328234334,860072711837
2019,3,648.6418121129543,13583.2116222292,751179898704
2019,2,615.3171728667319,12934.5698101162,798451515020
2019,1,610.991829800436,14537.4327770208,797580103477
2018,4,514.2872410735393,13932.4378368753,829194329901
2018,3,639.6027639704382,13418.1505958017,877540867731
2018,2,767.659930889138,12778.5478318313,787129440016
2018,1,525.7225176102103,12185.9329392924,800786350622
2017,4,787.1847258382329,12872.7977796562,834863007835
2017,3,469.194373317483,12085.6567945372,735755692957
2017,2,625.082422836134,11616.4884924819,682329900587
2017,1,474.1209170774894,11165.4768737986,733961913731
2016,4,472.48595260948156,11904.9201923854,664505827192
2016,3,328.9999717431189,11500.3695451962,577994110645
2016,2,538.6969553915,11171.3878546709,572260124068
2016,1,300.7753094190626,10795.1267253513,587816426696
2015,4,306.6843163620517,10506.3777748,773508590491
2015,3,350.02183115030283,13439.2327875178,588396255366
2015,2,554.1903098889014,13019.2463939599,615260872591
2015,1,419.3029188123892,12675.0000576485,620394136158
2014,4,403.51476226604206,12259.0883952421,708696335009
2014,3,369.17902436453636,13051.0651048293,769942131494
2014,2,558.0539457463236,12681.8860804647,757006528847
2014,1,324.67239718678746,13532.6454486553,792186760547
2013,4,283.2226994987486,13207.9730523833,791927784566
2013,3,405.78184459715436,12927.5104727633,745263444446
2013,2,451.662091891779,12520.893721806,710804849723
2013,1,406.5908026684353,12478.0478008821,887057366568
