year,quarter,EPS,BVPS,Revenue
2025,3,133.05369049996855,12552.4640169069,335775823985
2025,2,33.8426966677885,12419.4253681396,326976091819
2025,1,33.4485578656076,12385.5778289961,223394721166
2024,4,19.982243709873146,12351.0123309834,549461737501
2024,3,53.30216712162503,12330.6491430565,381172442861
2024,2,23.869908340304423,12298.4260866009,424212593682
2024,1,19.894864040982497,12849.9631545186,203214611023
2023,4,45.46255324901123,12830.1669449743,628326561703
2023,3,57.665706298026116,12786.2077896328,442043023231
2023,2,27.30486966290765,12728.5420833348,390472181127
2023,1,48.13356579752779,12701.2372136718,346848554312
2022,4,73.77686562707058,12768.3892639283,819837122590
2022,3,11.142493200781415,12679.2054651947,399008150782
2022,2,164.82534786019482,12728.0653692193,289458964505
2022,1,134.78116500976768,13465.7022641029,419450285882
2021,4,121.47348237173381,13330.9210990932,299295435751
2021,3,226.18649620406106,13362.3186643633,222574455726
2021,2,1295.693590013461,15594.5757736251,151310861741
2021,1,137.50148021652726,14298.8821836116,261708659987
2020,4,6.548930607349778,14161.3807033951,344380962582
2020,3,33.2335131772011,14984.9569320024,361798118984
2020,2,201.4138554993619,15160.2715806816,465714143462
2020,1,16.249934558684743,15021.6599028828,364944594379
2019,4,554.0717422070462,15038.2630732717,1532091492590
2019,3,647.4462441733926,15189.2099675085,737962808701
2019,2,851.2489899423384,14548.7910979772,884741709345
2019,1,455.9322879105664,13353.6136967855,566448920970
2018,4,952.1753748277014,14754.7414563251,1217941823152
2018,3,467.769973199053,13050.5908959232,630031957193
2018,2,569.2151056371873,12524.6677897894,716815437526
2018,1,700.247257888964,14853.3680237413,593213842594
2017,4,469.12067393826095,14197.3374165477,829879492712
2017,3,200.6708743310273,13650.75787394,432605277214
2017,2,305.3943671938831,17869.8102095123,501354758904
2017,1,287.62048379431997,17344.7495991128,406251611679
2016,4,483.34819118258156,16693.0392313548,660199595458
2016,3,451.06581005634814,17123.0976348405,336611343675
2016,2,296.5394011392311,16772.6071012694,283895720049
2016,1,264.51810008414157,16843.4043583909,179338715450
2015,4,931.4844098385148,16749.022015198,417326395501
2015,3,114.95739146189197,17392.2111844416,219523610431
2015,2,162.50849381959208,17287.4153915049,267425124963
2015,1,210.2343273084966,17537.1358305567,311765953348
2014,4,742.7193595542029,14778.9665929302,231371606201
2014,3,2.997799168905499,14149.0427763071,99169630522
2014,2,-481.4664462560389,14127.8202418609,112074493333
2014,1,119.22303435535264,14649.6529135002,98810245678
2013,4,1212.348179798727,14530.4298791448,230907039148
2013,3,-540.6261834161817,13169.7297583824,115259168289
2013,2,-687.8164698603128,13641.7011604661,133269242303
2013,1,24.845756699027003,14268.728651069,89531863673
