year,quarter,EPS,BVPS,Revenue
2025,3,120.91453046442173,11138.2915445644,26233525031
2025,2,350.9299233761742,11817.3770141,33372015505
2025,1,521.1241560447813,11607.8809743259,41241725248
2024,4,616.8451750787068,11086.7568182811,51384292344
2024,3,-23.868929715457078,10469.9096036037,16649742683
2024,2,33.26568659147686,10993.7785333191,18342107187
2024,1,339.73260845393884,11121.3948326646,30354665170
2023,4,443.491378361135,10781.6622242106,52301744127
2023,3,-59.20596896972459,10839.5923231723,17051593742
2023,2,118.89181677288627,11198.798292142,23149557891
2023,1,642.5821457244716,11276.4396014072,45350644897
2022,4,370.82755249559756,10633.8574556827,56407933738
2022,3,67.05685048580393,11045.371132977,22898129604
2022,2,351.52034180315707,11778.3142824912,33754558166
2022,1,478.9988083644305,11543.229324355,36322478955
2021,4,580.2900695146244,11064.2305159906,55166281961
2021,3,-95.03866878269038,10535.1170461835,15794822262
2021,2,38.707302192439684,10630.1557149662,19552883380
2021,1,469.7541704920391,11176.5827469262,36863836492
2020,4,722.9521801975898,10706.8285764342,56628204253
2020,3,-115.16926797991032,9913.8728418158,13205855280
2020,2,-92.57913725632756,10529.0421097957,12546848335
2020,1,71.71465671558434,10671.7345227973,19177851741
2019,4,397.11202085213773,10600.0198660817,39633717095
2019,3,-142.0004742367034,10197.4918657952,12557708302
2019,2,-23.968115042727643,10339.4923400319,18587495272
2019,1,351.14044451620407,11623.1622865392,27593409779
2018,4,37.06804270757089,11272.021842023,28329880933
2018,3,0.12732247688022585,11234.9967840128,17036069444
2018,2,386.0796545723598,11234.8694615359,27963717131
2018,1,529.702145249527,11949.7298398875,32663813340
2017,4,268.3624044103233,11420.027694638,26823012546
2017,3,119.88145035875677,11151.6652902277,11337383119
2017,2,362.4424825573604,11872.4838475921,17638426933
2017,1,616.5438343000463,11598.4900132286,26699384366
2016,4,407.6755858560626,10981.9461789285,26918673142
2016,3,84.85696336124695,10574.416547811,9200379127
2016,2,140.50793885566557,10489.5595844498,9627977001
2016,1,244.4925802424267,11123.5369039116,12728404002
2015,4,240.46951273088928,10879.0443236692,21137479429
2015,3,61.489462634664015,10638.5080313533,9580373337
2015,2,179.72632771173772,10577.0185687186,11119581828
2015,1,0.0,0.0,18456855013
2014,4,381.3883722987101,10610.2665505249,22011879030
2014,3,81.5210759962618,10339.1488690031,8795028450
2014,2,-190.71779718427453,10339.1488690031,7789709530
2014,1,0.0,0.0,12234221220
2013,4,-40.57212387961947,15637.4954710416,8142254570
2013,3,0.0,0.0,6403785820
2013,2,0.0,0.0,8557863680
2013,1,0.0,0.0,7137156740
