year,quarter,EPS,BVPS,Revenue
2025,3,2076.666750209187,25360.0843516574,127528260802
2025,2,2396.215194566386,27655.9944207241,132266368659
2025,1,2432.2737985548038,27242.040945407,125689140558
2024,4,2118.1721877771542,31032.3661297908,137074688142
2024,3,2302.1522837271136,34928.9501619757,122745044812
2024,2,2590.897339672564,34186.2363096437,137204395657
2024,1,1575.1780936511293,36324.9616903077,101335961076
2023,4,2647.2848982804635,36774.0914912747,132311483653
2023,3,2224.2275042477568,47370.1447163606,146166232218
2023,2,2458.163551037854,46686.3898127558,103717662411
2023,1,1624.38641969369,45425.8106577897,103250343795
2022,4,2465.1830445901683,45837.5235101831,126936830374
2022,3,2183.0497726618373,43971.3178322848,121597242501
2022,2,2309.8565822094292,43318.7755627521,107276067885
2022,1,1980.1160830994838,41570.1789889026,116899768395
2021,4,2620.4658702375004,41668.7738032159,139090521422
2021,3,325.4198387732944,40674.9304089022,46017093471
2021,2,2136.431033542411,40428.5884407226,112680013913
2021,1,1856.7878310729527,38811.3068421753,116619527724
2020,4,2072.3400688106058,39021.7431160731,129622057013
2020,3,1972.8237721794408,38452.9083506767,112258057828
2020,2,1741.0355383236756,36959.4807750231,90774160840
2020,1,2209.2605630837284,37041.4796988998,128528468212
2019,4,2134.062382903407,35584.5785011272,126718303186
2019,3,2058.318657244899,33969.0226437018,116706617052
2019,2,1922.3375274964365,33410.7804391136,108672996499
2019,1,1859.521801651056,33355.5166757335,112817347447
2018,4,2044.044769432824,32161.0012468159,119743817336
2018,3,1933.852542273176,30613.6040792823,112872334992
2018,2,1878.32650095531,30149.6112423659,106540388600
2018,1,2035.3795945662573,30338.2032167335,115740667965
2017,4,1949.7260757563856,28797.4353439293,109174873326
2017,3,2094.100978047533,27321.5335822179,112642118149
2017,2,1814.7519261837008,26736.2954868931,95412376904
2017,1,1935.3358488596875,27002.8902181638,112553899958
2016,4,2040.4228984868375,25538.2177115571,110486829293
2016,3,2082.7673788353973,23993.5852022802,105871905155
2016,2,1917.1470742312972,23417.0019165133,96536073247
2016,1,1881.9994719569834,23339.069193994,101262750719
2015,4,1844.3896473137686,22095.7224882141,105721580876
2015,3,1832.160971149114,20699.1556838612,100712631601
2015,2,1594.997018721418,20312.2095532497,91590222677
2015,1,1577.5361885730763,19108.422975636,89980474927
2014,4,1657.94548555902,19500.9120855524,98544595398
2014,3,1682.9338122509193,18149.2704377453,91364390220
2014,2,1635.0224590796129,16875.4392384608,88018189758
2014,1,1585.4701021893961,16795.8249084149,85884676870
2013,4,1746.498207943297,16996.7434259555,100759499168
2013,3,1560.8099197295323,15683.4292684343,92225334350
2013,2,1422.2094855298749,14501.8961591835,85553631345
2013,1,1242.6534960937354,20959.0107201363,79300321927
