year,quarter,EPS,BVPS,Revenue
2025,3,-655.1376571403309,0.0,202909544885
2025,2,-611.1499062914924,0.0,461747869015
2025,1,-571.8891015446468,586.7519649692,1029112646102
2024,4,-716.4472359449319,931.7817454654,751805807689
2024,3,-1026.118205000521,1811.4556089086,488446760069
2024,2,-1005.1891181100997,2674.0364125795,615921588441
2024,1,-807.4210084838943,4178.2441683104,471439493661
2023,4,-1122.6827501650316,5708.0023268426,333277372157
2023,3,-396.6950418804534,7153.0392093845,503486405631
2023,2,-1140.8084295623923,7437.3535863689,547277712016
2023,1,-669.9068073614601,8695.27736214,1647792061587
2022,4,-1649.2289050021643,9020.541671215,1804532038075
2022,3,-2569.244580439857,10784.3826976878,2978411848234
2022,2,-335.0454915045851,13149.0354015024,3760155820802
2022,1,252.58892479598146,13495.2800002338,4364390489720
2021,4,3.3114003187135417,13318.1434435569,4428914948089
2021,3,12.607199328179732,13327.2746361641,3114578515642
2021,2,431.28944843331607,13276.0141408374,3536476649512
2021,1,267.43722611688156,12851.7360551948,2721125153156
2020,4,516.6130273863894,12577.2874662872,2561228678188
2020,3,57.81783310822072,12079.445321562,2252984924314
2020,2,-340.8786441205139,11981.5382358958,2542426080526
2020,1,-200.0711358646953,12343.6285724208,2528752892020
2019,4,-207.01900027868533,12522.488015881,3059485496139
2019,3,-425.71157070323534,12727.4844672611,2968523519375
2019,2,-198.73538749883252,15131.1691435957,3063209870112
2019,1,-345.4857038764222,15372.7096512107,3121613714614
2018,4,133.8382964931381,15675.3902349709,3361714490906
2018,3,111.80494827505812,15567.2313180872,3470070730707
2018,2,677.0821779502551,15429.3212957737,3596242691307
2018,1,1120.119065011945,19066.195784431,3039917675923
2017,4,981.9768254787867,17949.5733091283,3038803260859
2017,3,1337.8357900966514,17029.1620972203,3228528605472
2017,2,320.4898211550143,15643.7796917909,2368909456652
2017,1,1096.5174326480856,15382.382924768,2747412262545
2016,4,959.5471116962758,14235.3356391968,2900275146114
2016,3,64.12316329787785,13315.0410670099,2210130145593
2016,2,428.2204765024302,13216.8222762459,2037913204694
2016,1,163.10129101849077,12912.8009110336,2206001560276
2015,4,34.30999307143801,12629.0739606328,2111324475460
2015,3,183.81505981083515,12584.4209778534,2845025545850
2015,2,100.54581605609587,12401.1999344134,3108669579158
2015,1,-182.27461506350454,12504.2379306595,2172394896007
2014,4,-28.72126613178697,12594.2635292607,2721375329821
2014,3,-59.58997741490919,12749.919436106,2673488860262
2014,2,-18.550373070572924,12776.2537458855,2954167099626
2014,1,-30.119797343842095,12807.4159619253,2462036997388
2013,4,121.14671083357695,12824.9239162999,2188313291772
2013,3,-349.6316926598082,12581.3831253204,2538145845855
2013,2,-822.407814130444,12841.5751505264,2334623291692
2013,1,-124.91895771211327,13666.6550035214,2836655508806
