year,quarter,EPS,BVPS,Revenue
2025,3,856.1919020865482,12974.3419723557,2293593461599
2025,2,572.9095607280512,12118.1500702691,1956956906021
2025,1,427.3151106429291,11545.2405095411,1388352408740
2024,4,348.851474208078,11117.9253988981,1358634712731
2024,3,538.2342786299594,11803.6841092752,1603268623214
2024,2,319.1399273140444,11265.4498306453,1440174906761
2024,1,387.7130283163734,10946.3099033312,1494855947441
2023,4,440.11532635302524,10558.5968750148,1754715453241
2023,3,245.3537364454747,10968.9692650834,1731056116738
2023,2,113.03485004935435,13375.5472074476,1567319361338
2023,1,552.1667559805652,13391.3363921432,1884802935614
2022,4,332.93321927729124,12839.1696361626,2183590085287
2022,3,806.8430051448065,13356.9862416734,2719371245196
2022,2,983.6249470262044,16316.0748816684,1748819622279
2022,1,1202.1141988088827,15601.842416504,2304714635967
2021,4,1813.7517436824094,14312.3823607258,2612395996797
2021,3,1253.1905467314193,14204.1347329539,2396162620403
2021,2,798.579903423429,12950.9441862225,1715007547700
2021,1,835.7728184893168,12152.3642827991,2011433117140
2020,4,-39.29335385810963,11316.5914643098,1938597594278
2020,3,729.529955640088,12346.2988151127,2952755886366
2020,2,418.02514215989373,11538.8809220389,1612176188606
2020,1,568.8652812418894,11120.855779879,1878949470517
2019,4,171.38131189944534,10551.9904986371,1447290710142
2019,3,532.9630247600558,11453.530065474,1424814889652
2019,2,478.73961867898885,10955.0190746071,1349070366375
2019,1,446.1075302508109,10476.2794558628,1513753550702
2018,4,1120.062106158591,12040.3873153478,1561942626394
2018,3,453.4805188117421,12474.8591760757,1473384980527
2018,2,419.5402641557172,12021.514351472,1256086296951
2018,1,551.3134569254795,13881.4356522473,1345668186017
2017,4,927.8587309381288,13221.8046085187,1835015435653
2017,3,805.763032083232,13357.6331038838,1837632668197
2017,2,657.1650882678861,12554.2390131193,1439370120872
2017,1,717.515991719091,11898.1443175827,1404374835613
2016,4,659.4571830339842,11183.5994920228,1528479730456
2016,3,626.2703596606616,13076.4348756566,1472802649378
2016,2,708.2176655317671,12489.2832290869,1443686187217
2016,1,899.0778581551879,11783.1477216966,1461365040733
2015,4,779.3141724556996,10909.9842346825,1516871521253
2015,3,660.8307957015846,12669.952858477,1510084553368
2015,2,806.2840506718383,18009.5240003656,1423085993125
2015,1,924.1470310105632,16803.1741838751,1239206619990
2014,4,774.1666572845463,15420.4819482939,1493731377333
2014,3,2136.579077366481,19319.3035113347,1612124592476
2014,2,1959.140281025164,17182.7244339682,1789947360493
2014,1,1483.5913287388396,15278.0204466242,1383223426313
2013,4,432.39500924578317,13763.586672643,1761478727417
2013,3,1458.440387760411,19200.2964433617,1782469917389
2013,2,1355.0988362265955,17741.8560556716,1434725697517
2013,1,2190.223767357815,16438.7961050996,1310832315854
