year,quarter,EPS,BVPS,Revenue
2025,3,1691.398539196807,40505.1807385133,1683944053890
2025,2,1861.0159813642401,44170.4310175132,1904632680204
2025,1,1688.2754603512128,44007.7690487626,1620228953016
2024,4,1336.3340472135255,43372.6616077172,1936670303717
2024,3,1189.1088050158592,42181.2060905905,1484985171236
2024,2,1649.895978411675,41992.0972856045,1608063275955
2024,1,1332.2549845863516,40503.8820023388,1437093123988
2023,4,772.8998161339463,41196.5146243331,1548010433625
2023,3,1144.3158691431584,40482.0188357496,1186925606539
2023,2,1515.1694819937668,40187.2302895843,1474408434151
2023,1,920.6596848400454,40402.2962139338,1409467756287
2022,4,1107.9597666335585,39495.9526288411,1724949784014
2022,3,1704.1826207325882,39441.5902420432,1544386739701
2022,2,2280.3792638548557,37735.1405214493,1899000675694
2022,1,2066.0421435964627,36153.1576258044,1722470551289
2021,4,2569.21343677595,47746.0295740027,1760996657469
2021,3,3405.1834577599943,45261.8874814253,1730983055248
2021,2,2525.872507322155,41872.511688594,1611931058246
2021,1,2040.0187865741088,41552.2130475328,1404495550372
2020,4,2556.2039147417754,41748.0067024857,1594174468676
2020,3,2166.607290433584,39217.8391114901,1448366434500
2020,2,1749.7522771627225,39051.2705726574,1351600356886
2020,1,1314.83567851543,40011.5865451016,1213705452059
2019,4,2827.377357292658,37727.7948215498,1669690530092
2019,3,2387.8546404808462,34934.9376576776,1306034839208
2019,2,2220.0305623062227,32547.3167755408,1360560685678
2019,1,1768.3021897658368,35681.5309423001,1215536662804
2018,4,2738.16562451552,33980.1093115667,1560741697418
2018,3,1835.4543830041173,30402.4472232716,1219598002433
2018,2,1903.5287519870856,28569.3571624003,967901208608
2018,1,1503.9767443209892,43142.2744312022,973884043679
2017,4,3838.3867085272723,40411.1188236863,1071233317252
2017,3,2968.7500126735163,35595.4523067227,958891414190
2017,2,3303.3610742265278,32626.6879223203,1019358558964
2017,1,2200.524607261813,35252.146117982,922996410636
2016,4,4163.664778657525,35398.4630606072,1097100773159
2016,3,3024.8515597139717,31069.5519554126,806528634966
2016,2,2414.963698253529,33656.6514427617,948939889159
2016,1,2987.4431669449536,34783.3414395691,806306724026
2015,4,3297.1588935818927,34907.6486106098,881409890744
2015,3,3100.7997281230814,30770.6179427239,761127028593
2015,2,2695.4827097890275,27672.9184822002,743676975058
2015,1,2107.4016978002496,30018.4027698176,659722251779
2014,4,2187.5630593553046,28413.7779000397,773602997376
2014,3,2172.0265444876886,26234.360278855,609283669006
2014,2,2685.004205773589,24062.2928208198,513498040500
2014,1,2254.4641075155455,21457.9575891998,558804668967
2013,4,2129.653443239639,23078.520687553,651063588225
2013,3,1909.900819589212,20960.7506003427,466419142736
2013,2,1381.518759490114,19058.7468537944,448983003352
2013,1,2283.9617348099428,18997.9233124617,578744330155
