year,quarter,EPS,BVPS,Revenue
2025,3,17.901389419654556,8583.9655296845,73086607771
2025,2,1353.3848503569948,4140.4391468846,65547799640
2025,1,-1325.7970142799913,2786.7967802769,19677759924
2024,4,-3868.4704233036723,4112.5937945568,88934723829
2024,3,-1840.407093055047,8105.6134172198,43051138210
2024,2,-1325.7161947970103,9822.8982534366,34145880772
2024,1,303.8343742,11318.1805454,83972562857
2023,4,-179.4796390625,17209.9158925,111286889789
2023,3,-2952.1256778125,17068.4527884375,130178169553
2023,2,76.542173125,20028.6179340625,105816223840
2023,1,3698.4874175,21327.7799415625,115721945428
2022,4,-255.8357178125,17435.400104375,138544234145
2022,3,-488.6531775,17750.8707584375,64185440423
2022,2,808.6689578125,18239.5239359375,109847141844
2022,1,110.1318509375,18767.9304859375,53573524428
2021,4,7391.9584084375,18657.798635,119217430454
2021,3,-719.006743125,12815.236714375,6463907827
2021,2,-2007.5127821875,13925.097576875,91720504760
2021,1,-2292.786138125,15846.9977096875,10767924186
2020,4,1615.09772,18232.302810625,93250640911
2020,3,1073.6927178125,16331.9441546875,125117348665
2020,2,-404.4210471875,15331.3728415625,77483288930
2020,1,-1015.0094690625,17257.48061375,50779078753
2019,4,-1203.44295125,18379.2390778125,121253467606
2019,3,130.1166465625,19542.6603146875,182207692317
2019,2,-776.0474246875,19242.5678515625,293478144940
2019,1,2976.8369975,21364.9150871875,130067194010
2018,4,2932.985903125,18284.42674875,223490525875
2018,3,18.4810490625,15424.30351125,107630997635
2018,2,-2128.72959,15898.956798125,31985789212
2018,1,-825.1394065625,18413.004355,13373193259
2017,4,-727.7655275,19227.1229646875,327389818369
2017,3,49.026370625,20308.7427996875,138671620288
2017,2,840.5601971875,20196.1977784375,133455403167
2017,1,590.7916103125,21808.00571125,83372134112
2016,4,972.082015,21159.2566425,171462282493
2016,3,733.2463790625,20215.465314375,172984146040
2016,2,1191.538238125,19653.19199875,99404930944
2016,1,812.37644875,20921.760691875,78411510570
2015,4,1225.0757709375,20094.7415290625,190314757967
2015,3,0.0,0.0,136906599895
2015,2,0.0,0.0,128390715734
