year,quarter,EPS,BVPS,Revenue
2025,3,-583.9176863046519,0.0,34761390257
2025,2,-1297.8279298867608,0.0,39524660975
2025,1,-700.7907955764742,0.0,39610466855
2024,4,-1044.5817700368057,0.0,50029705749
2024,3,-598.6877381133738,0.0,36307630523
2024,2,-717.7203031364193,0.0,39552914805
2024,1,-768.0679970514665,0.0,34874964497
2023,4,-1764.3107145824802,0.0,49770664037
2023,3,-1313.060982578526,0.0,40323775248
2023,2,-979.3963344966554,0.0,45494062009
2023,1,-1019.2845322508634,0.0,52497530432
2022,4,-904.1740277786022,0.0,85181297324
2022,3,-1575.958470422667,0.0,63220074221
2022,2,-1177.165536400969,0.0,64911824777
2022,1,-731.2029965766411,0.0,59063079080
2021,4,-902.9370498639164,0.0,67978810918
2021,3,-716.451014428096,0.0,65061844274
2021,2,-525.8978030754174,0.0,68769220976
2021,1,0.0,0.0,72834098843
2020,4,-134.9384746697161,0.0,84809063986
2020,3,0.0,0.0,59303313573
2020,2,0.0,0.0,62824718198
2020,1,0.0,0.0,58156303598
2019,4,0.0,0.0,56431085915
2019,3,-868.7244069958921,0.0,53946679288
2019,2,0.0,0.0,64301770472
2019,1,-970.392493522261,0.0,50738894164
2018,4,-711.2128679154573,0.0,68844424761
2018,3,-635.5344511348655,0.0,54347461883
2018,2,-160.32024670144762,0.0,71402608069
2018,1,-511.74798710321585,0.0,55191929304
2017,4,-27.559194317,0.0,67589207005
2017,3,-625.51695670582,0.0,51076519839
2017,2,-157.84703352860527,0.0,60581717804
2017,1,-347.02295623956786,0.0,59111799443
2016,4,62.96522835802095,262.8410807355,85593274219
2016,3,0.0,0.0,68942107160
2016,2,0.0,0.0,63289734394
2016,1,0.0,0.0,64039428891
