year,quarter,EPS,BVPS,Revenue
2025,3,-6.6811238846890575,8813.2136498992,0
2025,2,-6.883551478206682,8819.8947737839,0
2025,1,-7.370977565079106,8826.7783252621,0
2024,4,-8.8810460604585,8834.1493028272,0
2024,3,-10.34054346689223,8843.0303488876,0
2024,2,-7.918273653737234,8853.3708923545,0
2024,1,-8.280585172095178,8861.2891660083,0
2023,4,-154.3777074653138,8869.5697511804,0
2023,3,-1.4846041012074873,9023.9474586457,0
2023,2,33.57173710845455,9025.4320627469,0
2023,1,-4.3445052858577276,8991.8603256384,0
2022,4,-106.87191939894171,8996.2048309243,0
2022,3,-17.64425302754193,9069.9178077024,0
2022,2,-35.967249014592774,9069.9178077024,0
2022,1,91.09261551583896,9069.9178077024,0
2021,4,60.81536786966264,9069.9178077024,0
2021,3,-15.99664629120322,9036.7863905002,0
2021,2,23.54823656431491,9036.7863905002,7121391800
2021,1,0.0,0.0,0
2020,4,-67.06662280849878,9036.7863905002,0
2020,3,0.0,0.0,0
2020,2,0.0,0.0,393000000
2020,1,0.0,0.0,0
2019,4,5.377724206886304,9152.2175423052,0
2019,3,0.0,0.0,1924336333
2019,2,0.0,0.0,0
2019,1,0.0,0.0,0
2018,4,-7.090614907555406,9167.9816252861,0
2018,3,0.0,0.0,0
2018,2,-32.725271912324715,9269.0715259123,0
2018,1,0.0,0.0,0
2017,4,-94.67946727815341,9269.0715259123,0
2017,3,0.0,0.0,48050380298
2017,2,0.0,0.0,0
2017,1,0.0,0.0,156000000
2016,4,-31.52638894703273,9187.0171174458,0
2016,3,0.0,0.0,37059483722
2016,2,0.0,0.0,0
2016,1,0.0,0.0,0
2015,4,-63.19534947242759,9411.0178407855,0
2015,3,0.0,0.0,2958469091
2015,2,0.0,0.0,0
2015,1,0.0,0.0,0
2014,4,58.096340101520205,9927.9199163299,499935455
2014,3,-37.08968398750273,10117.7977681808,0
2014,2,49.482824581860925,10154.8874521683,0
2014,1,-38.03733264712793,10105.4046275864,0
2013,4,-20.070238082692697,10143.4419602335,0
2013,3,-39.01091777859253,10112.9634309728,0
2013,2,-59.42079522546535,9918.887696752,-60129033
2013,1,-68.54935112150137,9976.9721625313,60129033
