year,quarter,EPS,BVPS,Revenue
2023,2,-10.638605823527106,0.0,1900786337
2023,1,-9.92439853360837,0.0,662758635
2022,2,-21.078881644809737,0.0,0
2019,3,0.0,0.0,0
2019,2,0.0,0.0,0
2019,1,0.0,0.0,0
2018,4,-218.49337191696148,0.0,0
2018,3,-165.43329485658504,0.0,5800594698
2018,2,-991.2738728272216,0.0,1228868146
2018,1,3.9884052812899684,0.0,2622248376
2017,4,-2305.2978552419227,0.0,10901711158
2017,3,0.0,0.0,10703591431
2017,2,0.0,0.0,95736755105
2017,1,0.0,0.0,43705943831
2016,3,15.603679374681587,0.0,56113066971
2016,2,0.0,0.0,31515798525
2016,1,0.0,0.0,5628911575
2015,4,63.071948954180606,9.0709530477,74968958873
