year,quarter,EPS,BVPS,Revenue
2025,3,852.4087921428165,21915.9011494343,315646162466
2025,2,2121.2960316788904,21509.9780215589,263996865564
2025,1,487.1674712945591,21192.3910263801,203113015299
2024,4,1143.2604153618738,20563.7481878447,383899478195
2024,3,910.190045676275,18846.7516751834,311353050436
2024,2,872.3252846096992,18339.9432311899,206904423157
2024,1,1249.4768293592585,19626.2885905623,285646120362
2023,4,267.23234982091077,18033.2142023765,255901043462
2023,3,79.19107065779748,16697.8513692649,305366530760
2023,2,831.3774779350731,17079.6623212235,220544707756
2023,1,709.5345034282791,17667.3321721189,173459207828
2022,4,227.024333879129,16801.2836087555,235658710957
2022,3,50.40241230314401,17034.645694616,189164026229
2022,2,1236.1873431917677,17036.8613025641,277093386077
2022,1,711.6406285291944,16982.3802029337,234932108185
2021,4,531.0515925521632,15848.1357874126,248306085228
2021,3,1372.08280795952,17280.835456217,264766024270
2021,2,1101.0314010688498,15912.509035454,199526351024
2021,1,225.0515697310819,15080.1482529877,176687165256
2020,4,936.8814409460458,15304.0359201546,219649535072
2020,3,477.90219407584283,14879.986931912,228119566149
2020,2,529.1695426800842,14604.4925567343,84580084125
2020,1,-87.77537321052931,14227.3948279834,56571859417
2019,4,317.48693792711356,14471.9670301211,187516784353
2019,3,80.68917670134744,15201.4073675252,141491211852
2019,2,1192.9690002728978,15231.6216389562,94945648575
2019,1,103.33996727500143,14394.1978042299,103013065863
2018,4,244.00384691568593,14224.7860245267,147628993377
2018,3,191.9254933310592,14637.6348661436,158574938285
2018,2,1745.3990236511456,14463.9897295355,108159623587
2018,1,137.8585048951049,13736.5988028654,93795828609
2017,4,207.34492923986582,13791.0361595429,81785609866
2017,3,363.13083018932286,13597.4806744443,92634812044
2017,2,1496.9109384501678,13084.0060901927,73476624306
2017,1,0.0,0.0,86451050310
2016,4,1201.969367422821,11873.5069752459,264744020424
2016,3,0.0,0.0,94431365103
