year,quarter,EPS,BVPS,Revenue
2025,3,801.1462326616382,12535.5096872349,804871905188
2025,2,812.7710157763946,13943.3634545733,770216012967
2025,1,844.8312614484124,13130.5924387969,764249731726
2024,4,1017.1172698914538,12285.7611773485,789233597986
2024,3,1352.9351969185004,11699.9532227152,782383589790
2024,2,506.165388415947,10947.0180257967,654357436843
2024,1,344.51041779769207,11466.8526373808,680607118453
2023,4,396.1550709090638,11122.3422195831,694186032092
2023,3,979.1593078585387,11039.6759085276,714148739129
2023,2,554.5353019376043,10860.5166006691,605627111936
2023,1,272.826295045159,10703.9812987315,567332187295
2022,4,666.4903587666898,11431.1550036863,558757340227
2022,3,265.6785997817491,10940.9169781534,414473019359
2022,2,628.3242090952464,11278.6909048061,295942247171
2022,1,13.18837905729487,10650.5540291106,131412450458
2021,4,22.429661328938643,10647.4410830238,61626888538
2021,3,15.73947024812159,10638.3456663003,57412525031
2021,2,-108.32571886007476,10632.8905312333,93514052307
2021,1,94.87147098906266,10769.3882835547,108910227464
2020,4,414.0131835880056,11327.9372211158,229274105840
2020,3,314.20417755729386,11095.6919800099,105703352181
2020,2,273.2938326248009,10781.4878024526,60294179199
2020,1,118.69430498971502,12008.1939698278,523459189552
2019,4,375.1546463591267,11889.4996648381,782200583159
2019,3,487.5839340253729,11813.5506348392,681413481978
2019,2,1300.9433559324852,11969.7189083993,701615863443
2019,1,628.2410529758811,12156.4256953876,730179873334
2018,4,760.9877912420848,11528.1846424117,720216260659
2018,3,373.64899039423574,11831.6886162789,607069985912
2018,2,890.0434352045241,11458.0396258847,634458106043
2018,1,532.6759479360818,12087.9961906802,697563180172
2017,4,605.6593288528559,11555.3202427441,668035280960
2017,3,578.1810095435833,11802.4544672734,559567451829
2017,2,492.28287384203827,11217.5937563498,555245152462
2017,1,501.9333992623574,11590.8480512015,586556035629
2016,4,712.5429035285171,11087.4167047605,548719822213
2016,3,361.5347911254753,11070.5237336882,489541430169
2016,2,379.6861819619772,10708.9889425627,499449049918
2016,1,324.87187297338403,10413.4896254449,551405750588
2015,4,-871.2500817186311,10088.6177524715,516847045649
2015,3,0.0,0.0,481587143179
2015,2,308.82497252471484,0.0,489237275688
