year,quarter,EPS,BVPS,Revenue
2025,3,1046.29986291694,12997.7790204377,89998562994
2025,2,684.3855228797775,12951.4791575207,64223013075
2025,1,459.9198801472831,13334.0606512565,43820543579
2024,4,835.2114491716752,13874.1407711093,72611482220
2024,3,1257.6947377434271,14038.9293219376,97201004841
2024,2,779.5424300254015,12781.2345841941,64287913621
2024,1,475.9022143279848,13039.4597660031,45840973549
2023,4,624.5546263085234,13563.5575516751,61018089086
2023,3,683.9445197334317,13939.0029253666,63957359804
2023,2,345.94692142313926,13255.0584056331,41910976326
2023,1,348.5080714591932,13909.11148421,41548182374
2022,4,625.7845912060337,13560.6034127508,63485921548
2022,3,886.7130605508679,13935.2552847374,81354826791
2022,2,1166.2197994745381,13957.6336822241,92901002716
2022,1,623.8787202153105,14070.5467746482,56975496382
2021,4,575.3738818981655,13447.743509118,61373038640
2021,3,71.51748362184873,13355.7442843565,36034176178
2021,2,337.59412176923075,13948.4320095897,48622599160
2021,1,394.7836505641026,13610.8378878205,50082901869
2020,4,552.9361897179488,13216.0543340513,66594351851
2020,3,471.4983198717949,12662.5641882051,61744525110
2020,2,488.3084949230769,12191.377850641,58793675888
2020,1,117.22993787179487,11706.2795821538,43164493600
2019,4,125.44421628205129,11589.214627359,49102898446
2019,3,63.68193458974359,11463.8597717692,47876369833
2019,2,600.2576040512821,11400.9844862308,68242220665
2019,1,696.3854243333334,13195.5789657436,69410572080
2018,4,721.0163539743589,12523.2384444615,75916693603
2018,3,566.6046435128205,11815.8130625897,76384727198
2018,2,1073.9894452051283,12249.2084190769,91085121634
2018,1,0.0,0.0,70737106667
2017,4,862.7202299230769,12043.0028319487,77425371619
2017,3,0.0,0.0,82347468740
2017,2,511.37599033333333,0.0,74726400560
