year,quarter,EPS,BVPS,Revenue
2025,3,235.14995927512885,13181.7368789141,5386645094751
2025,2,197.2428669377027,13121.3175656458,6857925129157
2025,1,266.00644769503833,12893.4181837346,7303758191034
2024,4,267.57612032743117,12735.9502403475,7551147889582
2024,3,266.6560656934212,12556.2758295007,6832179509327
2024,2,262.9725051010161,13771.559268271,9488662854867
2024,1,275.9642380790163,13487.3128199492,6171519158517
2023,4,208.05946744355006,13214.4670784013,7026414528523
2023,3,263.04888115524784,13059.0299477924,6375572129283
2023,2,90.03741097211466,12732.5647084959,6845658326605
2023,1,201.7405705707136,12811.2039471067,5721411106007
2022,4,141.5363386825691,13768.7441501661,6936598068187
2022,3,335.52075286519687,13443.5122984895,5323977654436
2022,2,327.30179545085707,13553.0339423295,5510132522467
2022,1,315.30394282195493,13334.6994402801,3534409387112
2021,4,330.10332579413324,13140.5107105156,5004339787107
2021,3,299.82955548858314,12951.5789936382,4318953453501
2021,2,265.78114787571843,12838.8250911145,4180174603744
2021,1,300.591863770636,12747.9978718927,3188755486959
2020,4,216.36576121169722,12333.1142823605,3855283050904
2020,3,154.45764302953233,11785.5336541783,3659949863305
2020,2,383.1574492910464,12295.5068241039,3785363191019
2020,1,120.8006688513836,12584.201327388,2980904735797
2019,4,32.64992064091328,12426.2947709285,2973234275096
2019,3,62.15562211663074,11604.2962951483,3183954849526
2019,2,-40.72278368957466,9485.9093179715,2701286034565
2019,1,550.3220778613,11766.7186967992,2519351620453
2018,4,-43.81935335555274,10538.6763766774,2785888529972
2018,3,72.176894798643,11669.3577011187,2525806562997
2018,2,299.45982981115213,12200.9906888464,2095885625642
2018,1,285.7552355837666,12904.1318361099,2745148128474
2017,4,312.50121118291486,12619.3151377171,3915094021129
2017,3,156.46310957693873,12304.122858752,1565534948555
2017,2,53.42269136101295,12250.7619867481,1267430433069
2017,1,329.6915673991656,11913.1537116838,1138147360892
2016,4,398.03699889048573,11595.7215442147,1196160083013
2016,3,299.1253890247395,14719.160346685,906633165831
2016,2,309.61593482680644,13812.6158861408,1025639450370
2016,1,241.33926408164328,13598.9388703466,1241453309513
2015,4,624.2234107530898,13346.8035992842,1122082834919
2015,3,305.5278358999468,13408.8131092312,625517493974
2015,2,424.4951755276224,12935.676842532,552490058048
2015,1,264.924961611404,12394.5472341414,561730459529
2014,4,333.3023233915534,12138.6764001481,504173347998
2014,3,174.70452315775157,12227.7852663119,453274003730
2014,2,127.31170857055892,12083.4264163504,552073225548
2014,1,204.76586348118872,13033.3523363229,452969679116
2013,4,750.1958469095556,12828.5864728417,747475498729
2013,3,295.344555133401,12272.8909038684,561770894768
2013,2,264.0688436482701,11646.0159590645,413561385090
2013,1,389.7908484879871,12525.8767681634,499610103802
