year,quarter,EPS,BVPS,Revenue
2025,3,-386.09062408511943,3302.8173871498,26261185946
2025,2,-469.1948929069395,3687.5149702276,46595070974
2025,1,1062.7055576486953,4232.9737001289,51130810209
2024,4,1986.3439481564133,3170.2681424802,42237124390
2024,3,-738.7834874103683,1114.2948923069,11846626361
2024,2,-1950.4668000387016,1853.0783797173,32268320273
2024,1,557.6283014766344,3980.3663125566,39301154089
2023,4,-203.18388790148805,3422.7380110799,32904585076
2023,3,124.31974305715805,4109.3525008757,20980136107
2023,2,-387.2119388430384,3985.0327578185,45143253776
2023,1,948.1928510122533,3845.6222139191,49712124124
2022,4,620.9203267306509,3845.6222139191,55189699874
2022,3,82.84817845168268,3407.8734399685,23842601038
2022,2,-1114.1953926770552,3427.1543722135,37803372132
2022,1,1082.5392833936567,8213.5845645287,49689753951
2021,4,384.46710480096823,7118.598633095,48746401546
2021,3,-215.72090289134138,6872.7898654171,13494108987
2021,2,-798.8261748160363,7088.5107683084,38469080856
2021,1,937.12105068479,7891.5468306349,109746728782
2020,4,1991.9087420768685,7013.1563813568,71104746762
2020,3,0.0,0.0,30250044460
2020,2,0.0,0.0,34968850457
2020,1,0.0,0.0,48972387940
2019,3,0.0,0.0,27284706004
2019,2,0.0,0.0,47185148295
2017,2,-1075.8710260587989,16492.2927054689,75477808135
2017,1,-640.9622356674856,17569.5027928624,124260713072
2016,4,222.83210417969323,18210.4622035412,177609847876
2016,3,0.0,0.0,168072094104
2016,2,0.0,0.0,233262638477
2016,1,0.0,0.0,84425496565
