year,quarter,EPS,BVPS,Revenue
2025,3,-2423.6722057215597,21238.9858073923,204283895153
2025,2,329.29528440688887,23587.2973742497,304798653935
2025,1,134.03698137188798,23434.9627723756,258989716363
2024,4,-893.3949119511574,23363.1893126793,356153463207
2024,3,143.7364822691762,24215.1339188759,298330539395
2024,2,882.5065310177114,26049.9457752305,306130007793
2024,1,-2759.0577408454856,25847.147815527,176385004878
2023,4,2046.2748005743986,28606.2055563725,367753141055
2023,3,784.0925649189048,28439.4851445222,320802866114
2023,2,389.96617079866985,29655.3925795047,410864460537
2023,1,-1059.9565779950428,30470.705347546,255810645670
2022,4,478.734626252848,31530.661925541,418031570168
2022,3,1160.8471743137598,31128.5483832983,418662366612
2022,2,1142.8894590402738,29965.7213315744,397644475854
2022,1,641.6828515826977,30570.7306892694,390496399723
2021,4,1645.5844466226174,29937.0194714062,443022118406
2021,3,-1409.910094943815,27421.019557205,158419302410
2021,2,1965.2903520582895,28830.9296521488,491286780198
2021,1,-526.8552003516372,29072.9957496043,383828131149
2020,4,1629.5384800409704,26122.4928388046,475045273342
2020,3,1295.8104687802177,28520.4148240872,418363146085
2020,2,4139.438080996392,36463.1861112827,474110369148
2020,1,872.8332455881985,32730.9064134061,379772983085
2019,4,447.17769184309935,33610.7314554698,324246228669
2019,3,2306.2948455712553,32738.9378464432,341547124018
2019,2,1652.3664997205146,30432.6430008719,357168483990
2019,1,672.9720888112156,30231.2923483643,285355176066
2018,4,578.5328887645097,29961.8272899238,331411990550
2018,3,1310.7260960556307,29019.2367374574,297135545803
2018,2,2730.914680991771,27708.5106414018,164817696083
2018,1,1301.6047204138472,18031.7901809801,62239211946
2017,4,-469.4623365210784,16670.1113688206,56624783372
2017,3,242.6184850546854,17449.0925466581,49176773352
2017,2,1569.4334060461874,17206.4740616034,64861952019
2017,1,1448.7694877397635,15637.0406555572,61324884954
2016,4,-216.53792686365856,14188.2711678175,76798753436
2016,3,257.15680022621547,16701.5350279392,82929110279
2016,2,1671.223647333991,16444.378227713,99416987433
2016,1,548.2733115107592,14773.1550419177,75787893391
2015,4,651.9446335129078,14224.8812688683,85065370604
2015,3,91.21161886690102,15825.3154459917,66989581176
2015,2,1417.5819098070353,15734.1038271248,81034948504
2015,1,351.6889826256843,14816.5219173178,70254308693
2014,4,1270.4586046732022,14464.8329346921,74832573849
2014,3,400.37042863250554,15471.2133739446,66391106407
2014,2,320.46935329354767,15070.8429453121,72874338164
2014,1,339.30336737078494,15750.3735920186,58027410725
2013,4,1233.1965034753093,17411.0702246478,65244056461
2013,3,588.1598516122392,16467.1147998991,77969384077
2013,2,917.5691742626958,15878.9549482869,84701362628
2013,1,166.92650319684762,15890.3994480305,57878805264
