year,quarter,EPS,BVPS,Revenue
2019,4,104.89435076923077,17929.3680207692,51761560498
2019,3,629.0133203846154,17824.47367,61746940854
2019,2,1473.7454276923077,17195.4603496154,65149719459
2019,1,0.0,0.0,67230117313
2018,4,881.5901292307692,21073.0453696154,80346698480
2018,3,0.0,0.0,80543474249
2017,4,444.3928134615385,19997.78079,48019593459
2017,3,0.0,0.0,57831401974
2017,2,0.0,0.0,51654216417
2017,1,0.0,0.0,39743470350
2016,3,0.0,0.0,49238628745
2016,2,0.0,0.0,45612766198
2016,1,0.0,0.0,32140407752
2015,1,0.0,0.0,46631966098
2014,2,928.5673923076923,14525.7503280769,37849645868
2014,1,712.4020961538462,13597.1829357692,33681644582
2013,3,854.9742461538461,14868.0379346154,39996832059
2013,2,941.4631496153846,14013.0636884615,35570705624
