year,quarter,EPS,BVPS,Revenue
2025,3,589.7509102233821,16327.2463133418,358803211262
2025,2,514.5291224101331,15796.4704941142,342539954426
2025,1,488.49836597732855,15333.3942838565,355787682853
2024,4,491.29182942611754,14766.4569273112,378271996139
2024,3,240.5219615020055,16022.1437796194,386503003894
2024,2,451.68517053990814,15680.0400115035,417270885816
2024,1,531.1518506884713,15273.5233580532,411929286355
2023,4,450.5398445671443,14795.486692398,435010837197
2023,3,852.331045030632,16689.008634318,416441031155
2023,2,300.45519843265834,15970.9357577545,371936267654
2023,1,1274.3259645749522,15700.5260790583,378995578243
2022,4,285.0536963701863,14553.6327109498,463070791808
2022,3,-8.758578042067255,15892.7873857158,448874416837
2022,2,687.181641288569,15900.6701059447,458423620779
2022,1,592.7162762479752,15282.206628785,315351597202
2021,4,528.3881120826246,14748.7619801441,232502230014
2021,3,34.80699706866662,16073.2126792608,71265195902
2021,2,689.859074009114,16041.8863819702,219967660028
2021,1,632.6533137739024,15421.0132154332,218137082774
2020,4,661.206576091702,14851.6252329477,192215607172
2020,3,516.8766148346493,16460.1281572939,193342444249
2020,2,293.0603506829972,15994.939203827,139084513797
2020,1,406.3937968204027,15731.1848882479,251295428462
2019,4,809.6948344250138,15365.4304710205,328449617895
2019,3,318.57734388066245,17636.705120127,319225568516
2019,2,890.6837967750081,17376.4219392409,318398859188
2019,1,941.6602280820011,16668.972544907,261395614792
2018,4,468.7713260890095,18727.312316825,362762677293
2018,3,984.2210256346809,18335.4155200898,366271093429
2018,2,834.0594071876013,17449.6165970275,362624483781
2018,1,534.1581838568115,17809.1786951536,336815539746
2017,4,181.65063211076207,19162.3236120328,346653730194
2017,3,863.9735640600885,19138.8060893637,312606485723
2017,2,707.7010670131847,18365.1303444488,312803512231
2017,1,1084.1254657507166,19522.3652195877,349685297414
2016,4,519.7113611710166,18765.6744296729,317862340371
2016,3,1139.3874881295374,18276.3314940966,286126455926
2016,2,1422.0507106523035,18290.5585724573,274370791259
2016,1,752.7305349556589,18841.9975982732,254636111293
2015,4,474.43480682688346,18184.258424012,317265852836
2015,3,769.8117425834809,17622.3143398032,354242817410
2015,2,1333.6025681410622,17863.3038707398,382329147296
2015,1,944.1964094837665,17258.9315859005,355877582240
2014,4,935.1621553493652,16401.7455577166,598991438790
2014,3,836.9607499684686,16968.1743402364,671318322826
2014,2,815.9097487907904,16349.0486252604,704252152744
2014,1,729.3399243014062,16371.8259082768,593391428857
2013,4,463.02437929796645,15642.4859839754,686926423827
2013,3,603.3317882557787,15179.7925811711,644461014262
2013,2,551.7893871721476,17055.2029547501,539382890029
2013,1,121.91391734926927,16661.1982590125,576657342926
