year,quarter,EPS,BVPS,Revenue
2025,3,777.7082028184651,14484.3748419178,330146439714
2025,2,495.12839684693347,13681.6037940061,275030864295
2025,1,511.286965871572,13070.3912470296,263037763249
2024,4,171.2725446109676,12754.8731187871,291696542121
2024,3,52.30025024484967,12268.9101368432,245344851105
2024,2,335.80640818997165,12344.3513378104,307628320617
2024,1,232.0768947594669,12082.8064320139,260897812752
2023,4,297.0827409844282,12449.1546993829,269150711997
2023,3,442.18283491125806,12142.1576893925,233660933052
2023,2,506.4977195469662,11586.2962274049,221819917389
2023,1,109.99944149877814,11790.1583792098,217986721554
2022,4,47.16342582756701,11714.1020290944,234990675786
2022,3,137.90706343824627,11314.6349787964,261642332214
2022,2,516.1063924045831,11100.2937309668,324842238165
2022,1,223.21045002060868,11293.2525515516,289893421330
2021,4,2761.3380374034696,11147.6500876643,376963034896
2021,3,266.10241492865845,9761.1671808018,301453687651
2021,2,636.576627323051,9761.9118654908,376606687699
2021,1,442.6496871595549,10190.9022711883,317068360184
2020,4,505.8861066439731,9761.1671808018,242110733940
2020,3,135.88541314800645,9261.4503098115,215160722594
2020,2,327.4049200026442,9143.5024071999,234806523987
2020,1,93.95523225495857,8839.1062852348,243816923011
2019,4,55.695135850814104,8721.8917532153,281537076309
2019,3,80.80264227513622,8576.2259082008,233252228665
2019,2,381.851709976797,8449.8987471942,320139785954
2019,1,169.89517402752372,8169.7813225978,289127026425
2018,4,272.9060579314923,8072.2277564108,294732519492
2018,3,102.32258518799058,7947.0683752739,258413513324
2018,2,319.20130356855094,7845.7904406533,287316119733
2018,1,147.31861337722057,7566.7169433827,238044891984
2017,4,246.16409196421364,7422.7889992084,290690663346
2017,3,72.45052196107333,7561.3292273693,280244186885
2017,2,236.00606978079347,7391.9548887272,299669859177
2017,1,1336.2158248291323,7147.7960210455,290270536877
2016,4,29.807047839639687,5812.7738734746,431822251480
2016,3,136.32598711349544,5648.8928542445,278783690996
2016,2,0.0,0.0,291214341923
2016,1,0.0,0.0,244773803642
2015,4,221.36100131338705,5441.3275808769,335150569850
