year,quarter,EPS,BVPS,Revenue
2025,3,85.10265824135746,12481.897092233,299727258633
2025,2,155.57528044142703,12404.5203470292,297678405957
2025,1,116.01288424036171,12861.392411443,293719160524
2024,4,49.36508711254557,12745.3795272325,325921140399
2024,3,129.10341294015026,12696.01444012,319648552007
2024,2,123.63186780150792,12575.1629685163,289684297363
2024,1,101.41572470208175,12451.5311006849,288880194595
2023,4,78.81717396422813,12350.1153760127,261116487590
2023,3,122.53078489864838,12315.927786783,311962256667
2023,2,123.60952151447042,12193.5943309163,259248563708
2023,1,90.00977355746124,12078.2367507084,323903096363
2022,4,119.97539931846738,11988.2269771808,295481054673
2022,3,138.82236198366505,11882.1486280176,304835548767
2022,2,129.89186641123518,11743.3262660339,289071744046
2022,1,153.68603013602996,12121.6863409592,286928060183
2021,4,282.07150486558083,11968.0003108231,292763696800
2021,3,-19.253061956083826,11687.3613578928,197398852351
2021,2,145.83345805873654,12291.9452143431,286993336885
2021,1,140.27881816072193,12162.6836596474,205603488772
2020,4,330.9027845691853,12022.4048414867,294058833294
2020,3,188.85301662184966,11703.8302635753,230198581069
2020,2,165.50933183505884,12090.7261093011,226501160015
2020,1,131.96501032398592,12244.485164775,223058795545
2019,4,365.43586246815784,12112.520154451,304251908065
2019,3,252.44445075867452,11720.1912568167,220647533595
2019,2,173.94773261272,11467.7468060581,215381334320
2019,1,218.17522339299182,12946.1689611374,170884519852
2018,4,420.90348744706154,12727.9937377806,248555517229
2018,3,390.79837286795845,12314.6861361098,195133674763
2018,2,276.17444766345653,11923.8877632781,232280190813
2018,1,217.96342363085225,12670.6029897169,142386447320
2017,4,473.98334328044325,12452.639566086,288555482901
2017,3,345.0768405537506,13935.3490231151,181004174230
2017,2,234.13644907702664,13463.2784277778,227851505876
2017,1,406.964534375,13535.004755754,232639634260
2016,4,585.0604843253968,13128.040221379,203684732425
2016,3,457.7348380952381,14128.0271659444,196511045937
2016,2,653.7295918650793,13615.3641472778,148334640001
2016,1,437.24726838888887,12914.3383151667,134702206453
2015,4,132.00918594444445,12477.0910467778,116303325999
2015,3,389.02340605555554,14862.413214375,137233935239
2015,2,571.2748321666667,13987.110550625,156692052582
2015,1,387.332242375,13248.95259975,105961805452
2014,4,299.79928625,12861.620357375,135503331542
2014,3,375.769492,12591.821071,102835519481
2014,2,388.927502375,12216.051579,131839069728
2014,1,236.545862625,12134.026525125,77778535024
2013,4,90.6960915,11897.4806625,92826039467
2013,3,146.324762875,11838.964499375,92560954688
2013,2,221.903719875,11692.6397365,78696931641
2013,1,263.50020825,11478.922549875,82686838714
