year,quarter,EPS,BVPS,Revenue
2025,3,1352.6305553034854,12644.6717149829,236362150374
2025,2,581.3842067244949,11292.0411596794,138645634649
2025,1,130.40813330570398,11857.6861539778,66130285048
2024,4,1283.774111006392,13227.2780206721,239265182923
2024,3,1371.5308124731143,11943.5039096657,232481110716
2024,2,330.7862480311513,10571.9730971926,99472039010
2024,1,-62.058159501688195,12339.6289014942,56628421030
2023,4,793.0026809088031,13401.6870609959,190776691871
2023,3,1322.9589752528577,12608.6843800871,254258420960
2023,2,452.4382581441133,11285.7254048343,132478501310
2023,1,151.5967024974875,13451.3729265234,83669028019
2022,4,412.14908064268536,14299.7762240259,186318129584
2022,3,1353.9702211477793,13859.8196050876,243425583902
2022,2,770.6948142938696,12505.8493839399,178216920280
2022,1,607.4314476328522,13814.7525379632,138140881334
2021,4,948.3859140086386,13207.3210903304,218322899934
2021,3,1411.0828939752557,13763.6196550642,236460918072
2021,2,436.6570793040672,12352.536761089,133971897088
2021,1,-44.92630603712296,11915.8796818916,69060637285
2020,4,693.9138770592742,11960.805987822,165632489415
2020,3,-20.33398983248355,11267.4896977917,90099095930
2020,2,63.46046839084753,11287.8236876242,92109006679
2020,1,-59.700141190606786,13315.0683932699,81543544404
2019,4,881.030155831489,13374.7685344605,201370042706
2019,3,1374.5226418682278,12493.738378629,253740235438
2019,2,192.44577930684173,11119.2157367608,114009790531
2019,1,-138.45491052201362,13032.4148072142,73906942005
2018,4,652.8531117850565,13170.8697177362,177858718902
2018,3,1175.2771997605385,12529.8098200196,231833276611
2018,2,471.1038407772046,11354.5326202591,147851910357
2018,1,-286.4312804796063,12701.0855017383,61743247161
2017,4,716.5486480980726,12987.5167822179,183661982453
2017,3,1044.7385998322488,12270.9681341199,212018980165
2017,2,345.1662262592546,11226.2295342876,141813412579
2017,1,-129.58543343200634,12433.3822847886,79469356448
2016,4,569.1512307624997,12562.9677182206,171652131609
2016,3,1044.572000614661,11993.8164883865,210714338953
2016,2,12.377453094753827,10949.2444877719,94466687591
2016,1,-579.7211484128728,12620.2244882948,36133525955
2015,4,526.6759630541819,13199.9456367076,177257400141
2015,3,1312.503236157857,12673.2696736535,235167924141
2015,2,159.1397450437626,11360.765712868,112352220961
2015,1,-242.25512998585,12795.5812940107,69907932706
2014,4,559.8980010927306,13037.8364239965,176712927669
2014,3,1085.5435887982312,12421.1676551539,219677624386
2014,2,568.5422798051866,11335.6240663556,139310880656
2014,1,78.11040152512747,10767.0817865504,60742337836
2013,4,354.33774751307755,11533.4566220646,60661186407
2013,3,359.2035322622297,11190.7163518913,56068467620
2013,2,368.8877078375673,10831.512819629,55771998285
2013,1,41.29941569861125,11201.6013239541,21593417907
