year,quarter,EPS,BVPS,Revenue
2025,3,531.226272512035,13438.5643207594,815908995590
2025,2,425.5202235108885,12490.5593354071,693913488666
2025,1,293.7548491293461,13010.2551247754,561528807640
2024,4,290.4207098703189,13787.2129057029,551216301300
2024,3,84.84509077701216,13555.2877867712,276103690675
2024,2,435.5382845165788,13509.5094103493,550417448453
2024,1,438.17334946349115,13110.4123163816,564564801064
2023,4,219.5160939856088,12621.8109483339,-9088656151
2023,3,244.53840560393405,12434.5093589496,483629604412
2023,2,173.4229648500685,12085.8951586417,308421075264
2023,1,50.32768376288504,11702.8696263872,677107417732
2022,4,174.8678968817953,11603.9858893196,610482491769
2022,3,108.53331743488157,11568.318333054,297736101070
2022,2,-488.9165386892909,11568.318333054,-51479760208
2022,1,506.2521322681273,15880.539493459,685729379748
2021,4,874.7659210761076,15308.6854796304,1142771055627
2021,3,757.5781535990342,17039.5041301412,564922756290
2021,2,964.9276113378935,17893.6970225621,594915856631
2021,1,1306.578356773599,17951.1110210244,592707979865
2020,4,1681.829848679972,15565.8938710237,683795731021
2020,3,673.936056172939,13674.7267029061,334127362841
2020,2,1058.867601128067,14200.7906467331,385331622177
2020,1,224.6702385475908,13214.2930470217,401769641049
2019,4,172.31310507201246,12989.6228084741,226351836474
2019,3,503.2699496967217,12817.3097034021,313629347190
2019,2,264.0326619421954,12314.0397537054,263346908122
2019,1,288.9290731143076,9288.4494011071,264056922871
2018,4,422.22925417295437,9304.0532939541,341521592106
2018,3,471.74658492748136,12974.53675534,277864486303
2018,2,374.75645918825853,15963.6811022244,289453570812
2018,1,1288.2099341762357,16401.05753091,365420238508
2017,4,1305.7173439,14659.35832463,354856157254
2017,3,998.78999363,13655.42412223,297256748295
2017,2,1052.7849042,12390.42513455,283617574306
2017,1,451.6008092,11586.46027151,153828833159
2016,4,413.71783993,11134.85946231,200333061695
2016,3,69.90430231,10721.14162238,143839849241
2016,2,260.81248566,10651.23732007,122380432171
2016,1,121.46239677,10400.42483441,96784694549
2015,4,758.68443044,10278.96243764,215257567462
2015,3,135.59557547,9520.2780072,104786727621
2015,2,167.74553776,9384.68243173,103243444322
2015,1,120.35524895,9216.93689397,95471320814
2014,4,-207.70028736,9077.98164502,145024324490
2014,3,638.775352546447,9300.0970828584,110655543291
2014,2,66.92001836847113,8661.3217303119,71487052343
2014,1,725.1635666483048,8594.4017119435,72610472120
2013,4,66.27328017427011,7869.2381452952,49110686841
2013,3,-91.6604934047774,7802.9648651209,0
2013,2,54.63389779157694,7882.38868922,34913004658
2013,1,87.14754898092043,7827.83947397,30155800111
