year,quarter,EPS,BVPS,Revenue
2025,3,539.82056475,24638.5948097,22434552850
2025,2,215.45698008,24098.77424495,23026772115
2025,1,188.68924967,24217.38048598,24435340964
2024,4,55.48847696,24063.49919208,33103123222
2024,3,185.02937147,23973.20275935,20704657200
2024,2,190.42146538,23788.17338788,20854915458
2024,1,237.60787523,23613.75012815,24387621336
2023,4,152.80396432,23467.98949543,27081793638
2023,3,-557.26335835,23315.18553111,17723669172
2023,2,256.23407067,23872.44888947,17879184676
2023,1,266.98979737,23649.99985069,23808941007
2022,4,144.89578359,23447.85464044,21067485724
2022,3,213.18941522,23238.11426973,16481096435
2022,2,206.37138827,23049.73600857,16794395646
2022,1,161.61413091,22833.55346624,20010499970
2021,4,187.91391473,22671.93933533,23949959257
2021,3,-119.20421395,22469.22535495,12073793346
2021,2,101.37334331,22588.4295689,23905303001
2021,1,128.31359634,22487.05622559,13490729349
2020,4,170.33356835,22358.74262925,30565184506
2020,3,162.53806437,22119.3554849,16330893274
2020,2,63.50872433,21958.24222794,14873699857
2020,1,197.12894651,21903.64284193,24900486138
2019,4,169.92040241,21706.51389542,33297204233
2019,3,173.56562482,21547.08563913,16764008735
2019,2,124.22308151,21373.52001431,22697585802
2019,1,203.99235564,21855.56805619,36233504613
2018,4,145.40284412,21668.16151526,61203798262
2018,3,231.30504993,20897.63356845,34687748876
2018,2,351.19430811,20666.32851852,69019035153
2018,1,109.6536442,21050.39415917,37953394279
2017,4,245.13174863,20977.99179067,120784617881
2017,3,259.96323675,20827.91304922,40043573130
2017,2,128.81920528,20652.03939272,34242815848
2017,1,233.22059217,21304.86207646,36043127968
2016,4,376.40232244,21697.19213973,30952364117
2016,3,0.0,0.0,75235890724
2016,2,0.0,0.0,6746679990
2016,1,0.0,0.0,13704319266
