year,quarter,EPS,BVPS,Revenue
2025,3,1530.9681838419376,15144.3397841145,186315558308
2025,2,536.1618537153352,13613.3716002726,99017792495
2025,1,166.11879434690144,14882.5263286135,54648519493
2024,4,181.56156530376984,14716.4075342666,95918573377
2024,3,1275.933499539556,14534.8459689629,179682059798
2024,2,377.27188064051137,13258.9124694233,88545490315
2024,1,229.9808226744245,14822.9622558103,58398447954
2023,4,128.41385417563424,14592.9814331214,93256166432
2023,3,1016.6645224353763,14464.5675789748,179808157207
2023,2,454.2425411406779,13447.9030565539,91045625898
2023,1,283.1380581089883,16040.8543567828,66700394172
2022,4,127.49776772347042,15758.2177086585,92417366881
2022,3,1071.261212427147,15758.2587235948,174821048218
2022,2,605.7341661760771,14686.9975111676,109152767494
2022,1,426.5032843700352,14081.2633449915,78876134776
2021,4,668.7420926389542,13654.7600606215,137542891630
2021,3,1071.0254512771414,12973.150294861,153823011819
2021,2,356.38296312303055,13278.5114435912,83704467156
2021,1,208.91898272748062,12922.1284804682,50278330921
2020,4,441.9499311145643,12778.5838458943,88197168958
2020,3,652.4306397867088,12377.6016539606,112629500999
2020,2,275.2855919002438,11725.1710141739,70381700110
2020,1,201.6987675115821,13671.5153911049,60062085184
2019,4,540.6277634538199,13469.8166235933,107998013767
2019,3,1040.0346492871886,12929.1888601395,171052011917
2019,2,366.41775516669753,11889.154234418,82044948586
2019,1,280.5420174345516,14233.1899636833,64051634986
2018,4,122.67914319155949,13952.6479462488,83514856534
2018,3,1298.134855102899,13803.2786076301,199638745491
2018,2,894.6296409261519,12505.1437525417,134775225614
2018,1,476.9920264202386,16314.7210943059,78447309872
2017,4,264.2063164886486,15837.7290678857,94491070181
2017,3,1254.330884820595,15584.8824925484,186695523905
2017,2,929.1480473957305,14330.5516077133,147873561327
2017,1,359.2320326696389,23683.7918476972,65960829751
2016,4,969.7577205883152,23144.9446186723,108678562504
2016,3,862.6918963502586,24653.816290801,128137231188
2016,2,980.1326597991484,23791.1243944508,89302840964
2016,1,326.3123117057598,23114.4981579442,47407596064
2015,4,498.6116400629142,22788.1623675655,76530568847
2015,3,1683.5497291580389,22283.838506168,146948908973
2015,2,1024.5730274363766,23021.3171239903,88749408248
2015,1,675.5958941632617,22311.7334230089,69831962230
2014,4,802.06707263069,21636.7768393329,74624427508
2014,3,1874.699088395735,23094.8342694178,162337193411
2014,2,1171.3831802122727,21216.5283944423,98306023962
2014,1,522.986786652894,21757.5696723956,55587066245
2013,4,449.30543303946547,19810.8692914853,68491026373
2013,3,2054.876706806042,19909.8827442679,138036507048
2013,2,1245.1592306395219,17855.0060374619,75554139978
2013,1,505.3072014526543,18814.309816955,46448747013
