year,quarter,EPS,BVPS,Revenue
2025,3,-262.7289828282828,5504.4386059217,4358505026
2025,2,-299.46581154040405,5767.16758875,6316518394
2025,1,-23.41106703282828,5858.4133562121,14638762025
2024,4,18.136693093434342,5881.8244232449,36345218821
2024,3,144.60506948232324,6099.175529899,43968293421
2024,2,-111.33262834595959,5954.5704604293,18256590897
2024,1,-43.58432008838384,6010.1434928662,16239734600
2023,4,-411.318767979798,6054.8542116667,4441173816
2023,3,1.9244980808080807,10062.5901890404,47149131399
2023,2,-3985.3378778535352,10060.7020857828,21183691012
2023,1,-38.24314529040404,10102.9950337753,37306793713
2022,4,34.98733619949495,10141.238179053,35970863423
2022,3,86.05050531565657,10407.4843017929,95238439180
2022,2,-227.7398996969697,10321.4337964773,31624073890
2022,1,5.405748775252525,10547.9449809217,7293503757
2021,4,211.44627141414142,10543.767947399,175750023174
2021,3,116.17087882575757,10336.9028806818,40168729044
2021,2,-65.89144473484849,10220.7320018687,263949449423
2021,1,-30.70322207070707,10286.6234466035,14734928102
2020,4,31.54294717171717,10317.3266686742,154786301676
2020,3,-18.970647588383837,10310.945449053,20814210105
2020,2,-333.48343628787876,10329.4409914268,23651874090
2020,1,-4.416660883838384,10671.9073816288,171606468507
2019,4,-64.77129780303031,10667.3410885985,57353525717
2019,3,-83.14570936868687,10736.5785322601,143737071664
2019,2,93.45433857323232,10819.9051810732,243526284873
2019,1,122.68905651515152,10702.7529928409,221502620790
2018,4,59.69220590909091,10632.4999933081,190175969979
2018,3,158.8629706439394,10559.0720619823,172372328974
2018,2,338.5980764267677,10405.7516825631,113209583515
2018,1,26.020860934343435,12079.7446039697,70882016131
2017,4,67.22817018181819,12049.3592942424,251200558180
2017,3,0.0,0.0,377914135676
2017,2,0.0,0.0,231835019884
2017,1,0.0,0.0,131689804067
