year,quarter,EPS,BVPS,Revenue
2025,3,1840.408276051011,8170.1958180672,70689291421
2025,2,1047.5709470979004,6329.7875420162,51619305654
2025,1,-470.8065185957426,5282.2165949183,14615331339
2024,4,186.899588566164,5753.023113514,32568953324
2024,3,2117.6735910876205,5566.1235249479,79646446360
2024,2,729.1112831304854,3448.4499338603,46339787256
2024,1,-416.7991492508364,2719.3386507298,19872060678
2023,4,95.21779959268778,3136.1377999806,29666590976
2023,3,1482.9808694176404,3216.6840726373,66299708757
2023,2,324.54811438684965,1733.7032032197,38246721645
2023,1,-564.5828803277893,1409.1550888329,16920460205
2022,4,162.87741928914318,1973.7379691606,37681529291
2022,3,1067.622905396887,0.0,58067423651
2022,2,1301.389825563711,0.0,61926981641
2022,1,455.44715816967533,0.0,38306358230
2021,4,579.8895256232229,0.0,50378727600
2021,3,1747.008310322026,0.0,66244424145
2021,2,629.1244065330953,0.0,43320167432
2021,1,-520.5081149242875,0.0,21630693256
2020,4,-1530.6334290815314,0.0,44980680607
2020,3,2528.5591270911855,0.0,76225606180
2020,2,2446.855991998942,0.0,73112528239
2020,1,-890.640239039873,0.0,18841864936
2019,4,-778.7091912771757,0.0,21443784771
2019,3,1860.6769488065954,0.0,68197121238
2019,2,-139.31629033973806,0.0,35709012584
2019,1,-754.6905442457283,0.0,23137307889
2018,4,-670.1620160893558,0.0,29526328175
2018,3,767.2119825144605,0.0,51741510031
2018,2,299.3259180905525,0.0,45834313317
2018,1,-603.2071312412738,0.0,21863368472
2017,4,-541.1124252376836,0.0,33276815385
2017,3,1096.579586397181,0.0,58581457260
2017,2,-375.52328814573497,0.0,32109059011
2017,1,0.0,0.0,19545424536
2016,4,-1337.731806861246,0.0,20149911638
2016,3,0.0,0.0,55170543830
2014,3,0.0,0.0,42953178788
2014,2,0.0,0.0,25412380913
2014,1,0.0,0.0,13181947431
