year,quarter,EPS,BVPS,Revenue
2025,3,39.38682600115888,9470.3907081412,112828651743
2025,2,10.847824096204334,9431.00388214,50829421946
2025,1,11.697067997183792,9420.1560580438,55085345882
2024,4,374.9959290960471,9408.4589900466,69804430828
2024,3,82.57950700263146,9033.4630609506,101822956968
2024,2,153.73759482933872,8950.8835539479,116843859821
2024,1,-118.8538684907593,8797.1459591186,53988625440
2023,4,-331.9914547277344,8915.9998276094,76956381436
2023,3,-438.95682232223623,9251.0385113216,73767772925
2023,2,-377.3247317929191,9689.9953336438,64163782598
2023,1,-172.0512503700295,10067.3200654367,43876699615
2022,4,-180.7614069060869,10240.1590736664,93329059706
2022,3,8.423507895483821,10420.9204805725,80306211551
2022,2,-43.38270313953488,11141.3346309302,60870866913
2022,1,136.44933775193797,11190.7973199612,105860282250
2021,4,187.0458637984496,11054.3479822093,112710728866
2021,3,247.20165821705427,11737.427049845,169657788127
2021,2,83.81224945736435,11490.2253916279,87388417601
2021,1,203.7077765891473,11405.8317468217,66721026134
2020,4,92.80797302325581,11202.7053655814,151293592126
2020,3,0.0,0.0,74214093546
2020,2,7.201340542635659,0.0,24603227841
