year,quarter,EPS,BVPS,Revenue
2025,3,924.7072516666667,22642.701004,103764497844
2025,2,1342.1972008666667,24717.9937523333,106552074600
2025,1,1096.2615579333333,23716.7965514667,100684251949
2024,4,785.7730588666667,22620.5349935333,115942786158
2024,3,854.6811637666667,22834.7619346667,93552990406
2024,2,1405.2387392,24280.0807709,115793507007
2024,1,3509.2691753,22874.8420317,201554358533
2023,4,808.1384778666667,19698.5446767333,102267267887
2023,3,790.3761725,20094.6195322,86727365316
2023,2,1382.5782873333333,21104.2433597,105781417546
2023,1,901.9932087,20018.2740637667,87827539570
2022,4,725.6856325,19116.2808550667,93348784738
2022,3,726.9640903333334,19590.5952225667,86250912506
2022,2,1261.5924182333333,21363.6311322333,95904718381
2022,1,843.4508487,20355.0636175,85652656390
2021,4,801.5172648,19511.6127688,83264652404
2021,3,668.4415763,18710.095504,76834522101
2021,2,1234.2716577333333,18041.6539277,96590693189
2021,1,787.7656401333334,19667.6986359,84427833985
2020,4,861.8112323,18879.9329957667,89473262878
2020,3,1038.5694368666666,17917.0644986667,93567233679
2020,2,1165.9819512666666,16878.4950618,89171606219
2020,1,697.8395544,18428.3464438667,78662636363
2019,4,657.4421486,17730.5068894667,87326224252
2019,3,921.3190893,17073.0647408667,86359222245
2019,2,977.8146529333334,0.0,85102054377
2019,1,662.8741381,0.0,81759932890
2018,4,538.6917873333333,0.0,87493118239
2018,3,0.0,0.0,82693612948
2018,2,926.6582890666666,0.0,82014782612
2018,1,0.0,0.0,73750060504
2017,4,635.1061479333333,0.0,81949777429
2017,3,797.2739798,16461.6026687667,81250456161
2017,2,0.0,0.0,100924053116
2017,1,0.0,0.0,89143340710
2016,4,1051.4580708333333,0.0,88405287407
2016,3,1149.3803712,15477.0818213333,90647651158
2016,2,0.0,0.0,80681282631
2016,1,853.2856833333333,16299.4744993333,79064480475
2015,4,533.2754470666666,15446.188816,77342216949
2015,3,0.0,0.0,71598347513
2015,2,0.0,0.0,78915824121
2015,1,0.0,0.0,72080705421
2013,4,0.0,0.0,71511645037
2013,2,0.0,0.0,59769798176
2013,1,0.0,0.0,50427098180
