year,quarter,EPS,BVPS,Revenue
2025,3,1197.5131128554365,23229.4056224387,135626617961
2025,2,1251.8661711625064,22031.8925095833,141555875655
2025,1,966.4926277787083,24009.8522195656,125092191461
2024,4,814.8655181253735,23043.3595917869,123546555697
2024,3,895.2363736965406,23412.0474686354,124426027517
2024,2,1266.7377965034336,22516.8110949389,125009043916
2024,1,847.4086564264749,23543.9500650587,115210248636
2023,4,1253.3009422356347,22696.5414086322,126460657541
2023,3,864.1509400779827,22031.8754918898,103928360070
2023,2,1208.366483760018,31639.6167087774,107870869735
2023,1,1300.904213920147,33944.5540477382,102810690706
2022,4,1081.9636786525132,32643.649833818,105759088282
2022,3,2205.6286847819515,32240.3339405967,100867199926
2022,2,1112.3891795348225,30034.7052558147,104062536711
2022,1,1055.29061371345,33622.7212239087,99710525367
2021,4,1355.3319023247889,32567.4306101952,93392031153
2021,3,1560.1280043318363,30890.7464933016,90355794432
2021,2,1505.5779255012121,29330.6184889698,111095305552
2021,1,1137.9622649236705,31541.3327755086,92967292699
2020,4,1572.8185545520014,30403.370510585,95400397877
2020,3,1341.3956229763232,28502.0218844037,87702101334
2020,2,1463.6939888625632,27160.6262614274,89444080584
2020,1,1223.827757889934,40081.8907575216,86762365719
2019,4,1594.241330500415,38858.0629996317,98431453662
2019,3,1437.303226228499,33293.7942099621,93096517173
2019,2,1388.822091980056,31856.4909837336,93229779993
2019,1,1239.0891974008982,33065.3056222067,86293201883
2018,4,1431.3649728160783,31826.2164248058,93281080799
2018,3,1550.265657883887,31394.8514519897,91623347268
2018,2,1461.8869039464787,29844.5857941058,93879139469
2018,1,1552.1903021290866,27819.43790875,86079055235
2017,4,1230.3709038585228,26407.6509804,92503759426
2017,3,1391.9690657966346,25261.690868,86239825636
2017,2,1193.305455859798,24905.17736405,73958804200
2017,1,1078.9127701213245,26998.5779146,69191926237
2016,4,1276.4704466518974,26017.2581991,75140546044
2016,3,1641.8477975801088,25238.66005845,64251605637
2016,2,2034.503959177391,23745.3256038,94861222925
2016,1,703.8771515977769,22098.293631,52107670034
2015,4,426.16582280151067,21458.08568715,51583684912
2015,3,754.8762841310765,22888.18937035,47989666677
2015,2,751.7153804374715,24409.5623861381,51358713479
2015,1,586.1953839557141,23279.0923906,41464333514
2014,4,774.6137430803313,25315.8681649616,53940445092
2014,3,383.38998020988515,25581.6109415147,44213730131
2014,2,698.5548613317648,25198.2209613048,38474552806
2014,1,529.4286125480322,26398.2497445976,43484955231
2013,4,118.28832910960975,25868.8211320495,37091654414
2013,3,950.1738550044253,28113.6826100413,46421016216
2013,2,546.6946597474562,24706.4335706,40481497220
2013,1,508.6555732811461,26143.4405996,33828510035
