year,quarter,EPS,BVPS,Revenue
2025,3,33.205547393220996,13700.5406229132,950387649089
2025,2,-93.44491481378962,13645.1454818749,719086327730
2025,1,-206.46339118151474,13738.5903966887,327204191790
2024,4,-261.2443360123459,13945.0537878702,481721855204
2024,3,-287.3468772006335,14287.5100795805,729761970932
2024,2,-142.65532948338196,14574.8569567812,2463726927958
2024,1,33.57610284053796,14717.5122862646,715412985839
2023,4,-363.77583535509814,14971.5682271286,1005572989592
2023,3,151.9424402600125,15034.7804356874,966180376061
2023,2,-13.459575312631443,14882.8379954274,1615428532531
2023,1,99.41038607655892,14985.0278024413,924563724462
2022,4,209.6214495094898,14885.6174163647,1575801960661
2022,3,10.622387918699003,14609.1379469709,498915212861
2022,2,291.52636366947144,16058.3365031537,765382789651
2022,1,350.5491079184021,15771.3607055641,957970156450
2021,4,557.2935235767708,9100.5809311366,1165530034476
2021,3,734.8851395953324,22974.0631955895,726969344233
2021,2,322.1937310818178,12499.5207569024,792328449452
2021,1,79.12161787612408,13402.7619279887,437588670309
2020,4,177.4077396994765,13323.6403101126,613725947015
2020,3,482.03735463950375,13323.1446590316,540365508626
2020,2,690.7344851641228,12841.1073043921,906896640844
2020,1,837.4837118857143,14589.6965414,653787164080
2019,4,860.8721141142858,12992.2411083143,565739407092
2019,3,378.06057525714283,12835.6825639143,467790060437
2019,2,29.0702472,12457.6219886571,456730662199
2019,1,0.0,0.0,350292287175
2018,4,452.02660474285716,12119.3594779143,362969688391
2018,3,0.0,0.0,475489535704
2018,2,39.72189011428571,9209.5432627143,719240364172
