year,quarter,EPS,BVPS,Revenue
2025,3,1028.5294238740157,18809.665243685,174079896332
2025,2,956.1009117795276,17781.1358198268,155049342812
2025,1,455.1718741889764,16184.7577426929,101668203224
2024,4,622.5565518425196,16945.913975748,136342879959
2024,3,1331.8036,16823.3574239055,192731509540
2024,2,232.51506448818898,16491.5538239055,98767858697
2024,1,616.7081560314961,16270.9238829449,110826187548
2023,4,430.12639543307085,16701.4598214016,109434433231
2023,3,165.11297941732283,17271.3334259685,82049716075
2023,2,255.0185483622047,17106.2204465512,82789012739
2023,1,1129.3645352755905,16851.2018981732,156670537496
2022,4,1207.6889022834646,17284.8294888976,187844362608
2022,3,1488.0880707716535,17577.1405865984,189792365490
2022,2,1243.138269464567,16089.0525158425,180972101784
2022,1,1161.9835309606299,14845.9142463465,167471430232
2021,4,372.8353151496063,15254.7968571496,110669774705
2021,3,238.1606997952756,15881.9615419685,98136398850
2021,2,805.6779563622047,15493.9080569134,130858671664
2021,1,1088.5986918425197,14688.2301005669,155575209939
2020,4,666.8857065669291,16170.4975504567,140658571859
2020,3,989.1262976850394,15505.7938865197,159561569555
2020,2,910.5692735748031,14516.6675888346,146212597814
2020,1,282.9951193543307,13606.0983152441,86578027774
2019,4,71.65972028346457,15382.7567392126,61394145138
2019,3,368.9483832913386,15354.1062395591,54697248693
2019,2,890.6386009448819,14985.1578562677,97297672591
2019,1,707.6147552440945,14094.5192553228,83523380856
2018,4,835.1008536850394,13946.5580433858,113532538029
2018,3,738.681252992126,14611.4571897008,89285163832
2018,2,424.58202677165355,13872.7759367087,59000686822
2018,1,1238.6003286771654,13448.193909937,134256940536
2017,4,597.4006743937008,13568.9167938583,93252212294
2017,3,986.5247766929134,14167.6868907717,116642137392
2017,2,431.9421015590551,13181.1621140787,58587981650
2017,1,601.8250135905512,12749.2200125197,74359198604
2016,4,-87.11384036220473,13199.6674967717,18805152717
2016,3,679.5189813543307,14286.78317,83334266434
2016,2,668.6384896535433,13607.2641886457,76473840757
2016,1,473.9246419055118,13740.6422527244,62467115956
2015,4,352.6080216535433,13266.7176108189,58721158802
2015,3,123.49439595275591,13913.9979748661,32933659711
2015,2,773.5483145511811,13790.5035789134,88153150832
2015,1,565.8417137322834,15103.4344551181,71279247300
2014,4,550.9858064251969,14537.5927413858,77927839970
2014,3,436.9360360472441,14535.9845174331,57964540593
2014,2,905.3449947086614,14099.0484813858,112581998156
2014,1,374.7018020944882,14678.786596378,63438245100
2013,4,381.4731450551181,14306.0566247874,72188688831
2013,3,924.9534188976378,13924.5834797323,95416207433
2013,2,792.7459781889763,12999.6300608346,87293806189
2013,1,271.2200196062992,13975.789595874,44367010225
