year,quarter,EPS,BVPS,Revenue
2025,3,44.08948149942183,12476.0658075748,345980486241
2025,2,43.59824094263323,12946.0491693198,390355429992
2025,1,280.8665652903414,14589.8287709679,858836997713
2024,4,458.77036264463425,14309.016525132,1560966055134
2024,3,328.8598696663946,13846.7862151422,1418791485823
2024,2,211.021155496608,13534.0822302727,828392911971
2024,1,467.4236036798068,13461.5646609729,1619242444692
2023,4,403.6851027819764,12855.6338480005,1613116279455
2023,3,83.08614010967112,12424.5822130096,254130022654
2023,2,159.01600759262453,12837.3758653729,316831330687
2023,1,243.78238246141075,12236.5155172952,551859532186
2022,4,112.48332511325985,11976.8956632386,947818988024
2022,3,-86.72901746808778,13065.4028901287,359680322723
2022,2,98.55883497362693,13454.4847203451,233880985711
2022,1,143.13088410715818,13376.9689520232,1153038035998
2021,4,136.47672416231532,13240.690623335,834231524479
2021,3,189.869947272209,13113.4435247852,362173792957
2021,2,140.27316093644018,13956.1006741952,406541616302
2021,1,430.0727751659179,14221.2969551652,621508675335
2020,4,319.30676139153184,13152.2614238576,692979476099
2020,3,1139.5879864505596,14259.1928854936,1936688966145
2020,2,600.1707036459917,13721.890801978,1172137317713
2020,1,494.3667675754395,13023.8742587473,766998682117
2019,4,581.8447089786146,12592.9437655729,743931308488
2019,3,509.8711168697405,12555.2121530251,493946231508
2019,2,201.15181694612704,12834.0010410178,232228119806
2019,1,234.9050576371893,12648.2340670816,254898728443
2018,4,126.21445170435513,12184.1678073897,159723659641
2018,3,190.28218086921936,12065.144361172,150504921146
2018,2,247.6504705598099,12750.9757737195,264521746211
2018,1,193.14747040325045,11970.5260862428,256514297981
2017,4,322.7448492882377,11895.6350228051,483835612915
2017,3,326.21315343965813,12094.0825712404,490984327029
2017,2,388.77997050111134,12583.3232974305,613084937657
2017,1,329.21259664904557,12198.017561218,359207981160
2016,4,262.1163110337131,11796.1787560993,464934656300
2016,3,0.0,0.0,482121549519
2016,2,0.0,0.0,130416040199
2016,1,0.0,0.0,205198029417
2015,4,87.26415245789701,13161.2863245417,338747087661
