year,quarter,EPS,BVPS,Revenue
2025,3,-60.491839673280495,7046.107300292,224152008685
2025,2,-491.068684474338,7091.7676758831,227297322583
2025,1,-449.13435438462693,7582.8363603574,190806668968
2024,4,-337.8595330533034,8031.9707147421,259430056535
2024,3,-440.4723666466469,8369.8302477954,238026645143
2024,2,-173.89332918320872,8810.302614486,244486202679
2024,1,-392.17358294664217,8984.1959436693,172320815140
2023,4,147.66834796025515,9376.3695266159,206510387745
2023,3,-325.0839463088525,9050.1677631299,228634638167
2023,2,-88.78906718662542,9375.2517094388,247067319702
2023,1,-74.89628116077216,9465.8558368843,213680180399
2022,4,22.90258938541128,9577.7070684556,292486864965
2022,3,3.11964008830176,9604.0941528812,294726358782
2022,2,132.00041554080337,9601.1793324499,315919642283
2022,1,-109.80968594440498,9476.6299577225,207074062327
2021,4,178.84870286151224,9586.4396436669,277589127462
2021,3,-14.15365649269737,9355.374796781,179663157103
2021,2,267.91893993418887,9379.5826081072,278170989699
2021,1,-226.40794831197226,9111.663668173,208826094403
2020,4,-39.33701919963178,9338.071616485,268517351075
2020,3,-129.83977298298814,9366.1326332453,231599289509
2020,2,-37.63244557386304,9495.9724062283,228314926172
2020,1,-439.2281418735026,9533.6048518241,202219382540
2019,4,967.9458718918258,9972.8329936756,302442271895
2019,3,340.41645465852366,9013.9359987471,279502916835
2019,2,-205.02370055331912,8749.0563779856,284709224794
2019,1,-922.9715103147064,8954.0800785389,252994615627
2018,4,-837.5017852008035,9877.0515888536,387385235968
2018,3,-648.1178129723843,10821.9788898844,364960334056
2018,2,-302.98119134113,11455.4060336234,349982191229
2018,1,-642.7443654221267,11756.3959552294,236056359767
2017,4,-485.4294650526354,12399.0314726116,359440961077
2017,3,-339.46333803425426,12902.1622342704,368136831884
2017,2,-59.22181410021789,13424.0153253475,339835988340
2017,1,-682.2850492134951,13483.2271102997,279480374188
2016,4,391.1880973976922,14165.3966153026,387584624478
2016,3,-155.64146408171933,13888.0708498144,347207793021
2016,2,289.89873665116994,14529.820466099,429354749978
2016,1,241.26072270501913,14234.1747062466,378979254530
2015,4,703.8171469602028,14111.337888549,509162561042
2015,3,785.215682067238,13430.6991098629,578938992528
2015,2,-55.53076305314307,12654.391427437,541336926709
2015,1,-475.01630428680966,12709.9138076654,462718460292
2014,4,37.39770367862835,13184.8584043403,649036703766
2014,3,38.647296227513735,13202.969052195,637842537912
2014,2,-11.079840367003294,13160.7428896345,616057809728
2014,1,14.000774529733205,13231.2545151542,402554629161
2013,4,495.9078207900675,13217.2537406245,565552743386
2013,3,-195.8736132467712,12746.3646025182,528127108862
2013,2,-605.5346572807558,13713.8663216537,516638019154
2013,1,-990.868891248955,14344.2264264308,331100456796
