year,quarter,EPS,BVPS,Revenue
2025,3,129.2087184436525,17889.622607306,663197808682
2025,2,211.7115877583649,17760.4138888623,549250213311
2025,1,176.7776665339102,17573.2413895406,401522231447
2024,4,830.4474136741453,17396.4637230067,429361425129
2024,3,-537.0981031857217,16566.0163093326,387092830811
2024,2,-476.57437016544174,17103.1144125183,344919720087
2024,1,225.75549088687782,24743.2827055948,341159001790
2023,4,611.0154714862745,24517.5272147079,498953792186
2023,3,-40.20522162355026,23830.1109892336,327413582871
2023,2,-225.77771757521415,23946.7169648452,222786424412
2023,1,359.1202983822279,24172.4946824204,348974924956
2022,4,1212.2625578580582,23813.3743840382,325119149691
2022,3,-1788.5399765062768,22601.1118261801,411760947203
2022,2,-162.42114327122243,24389.6518026864,360542882507
2022,1,659.3330130164322,23892.7399329412,756442946639
2021,4,-127.44686170824937,24329.3639334948,670304564752
2021,3,-52.657100921009246,24456.8107952031,403465412991
2021,2,2792.6624502786945,24509.4678961241,658215835374
2021,1,1050.0248816541111,22875.818738915,604366664826
2020,4,240.04352383600266,21825.7938572609,604002663040
2020,3,179.25948646395253,21585.7503334249,591549712935
2020,2,628.5977566528945,21406.4908469609,486829628797
2020,1,719.6851832084253,20777.893090308,494525759661
2019,4,483.8133722163369,22346.5013820006,463516038990
2019,3,4.4090715938538745,21862.6880097842,419956981012
2019,2,1089.1032590117961,21858.2789381904,478868633937
2019,1,825.1199196622963,23550.036842742,756034909987
2018,4,90.60238137129825,22724.9169230797,588869345959
2018,3,453.8558801340783,22426.6631921771,623482419590
2018,2,878.2453018892726,21972.8073120431,661575134522
2018,1,1407.1149009279293,23184.606120474,614907241531
2017,4,2095.400797176827,21777.4912195461,609143250795
2017,3,1837.0554827153614,19682.0904223692,570095399456
2017,2,645.2059108447475,17845.0349396539,427678307782
2017,1,1322.778912465227,18984.8547546079,433578935691
2016,4,557.4372366597948,17662.0758421427,470510381696
2016,3,481.8252029198571,17104.8380604206,422908962287
2016,2,1329.5645315451209,16623.0128575008,368307008068
2016,1,481.62974163693553,16955.5985769946,449912092375
2015,4,934.1142530141976,16473.9688353577,376834811886
2015,3,917.7663589219586,15539.8545823435,375100974054
2015,2,1252.670464335993,14622.0882234215,445873584590
2015,1,390.7856029658924,14324.5565650937,387563582142
2014,4,893.8112888477286,13933.7709621278,478008012566
2014,3,1.1297381605646541,12977.6150481216,467016025540
2014,2,211.2935176807813,12990.659889952,490545348808
2014,1,-120.14588357200459,13357.4724200686,429245745283
2013,4,149.59935095747025,13477.6183036406,567443057483
2013,3,18.49553908001158,13327.9249134159,496021590330
2013,2,78.00549462908882,13309.4293743359,476160789947
