year,quarter,EPS,BVPS,Revenue
2025,3,1245.8294068235293,28157.7339956471,335506603746
2025,2,1793.0201375294118,26969.3516476471,348124995484
2025,1,1348.5811675294117,29867.253012,317311570672
2024,4,1821.7056748235293,28518.6718444706,330125235787
2024,3,1219.1810894117648,26820.4544832941,323823196842
2024,2,1900.3950504705883,25601.2733938824,342458517731
2024,1,1656.716646117647,29095.071582,321731970466
2023,4,1556.9578977647059,27438.3549358824,296951605950
2023,3,848.1165828235294,27081.1466629412,317300197253
2023,2,2005.437572117647,26233.0300801176,328059065015
2023,1,1755.2916557647059,29436.918908,340360053641
2022,4,2506.975747764706,27681.6272522353,309933743164
2022,3,973.7479863529412,21435.1055390588,297542217558
2022,2,1122.1441675294118,20461.3575527059,304295613174
2022,1,987.689652,21947.7369145882,272319572974
2021,4,638.7252336470589,20960.0472625882,248121225107
2021,3,816.317193882353,20200.3427574118,248510822619
2021,2,806.1873447058823,19384.0255635294,280738108774
2021,1,1384.30778,21202.4029247059,262593215416
2020,4,1722.029646,19818.0951447059,264390590933
2020,3,866.0136365882353,17753.6507192941,245715382313
2020,2,342.7489305882353,16887.6370827059,255731344265
2020,1,1245.1241437647059,18616.2057991765,243210148219
2019,4,816.7311454117647,17371.0816554118,223324976944
2019,3,522.6823545882353,16620.0328803529,215067361634
2019,2,336.4048765882353,16097.3505257647,209086626179
2019,1,682.0955569411765,17381.5338844706,200183827920
2018,4,594.4075283529412,16699.4383275294,202174197512
2018,3,229.3520845882353,16088.0964861176,191292988668
2018,2,130.21590882352942,15858.7444015294,185221982927
2018,1,875.6935035294117,17303.6579044706,182564584989
2017,4,805.9898723529411,16427.9644009412,178503543480
2017,3,-130.46185023529412,15233.6984291765,172794382686
2017,2,898.1845292941176,15364.1602794118,177003239844
2017,1,240.50920082352943,15787.4491622353,161302101940
2016,4,1014.0869508235294,15546.9399614118,146250524825
2016,3,262.1821636470588,16432.8530105882,155518073489
2016,2,835.3678012941176,16170.6708469412,163479375856
2016,1,-390.5512009411765,18303.5249294118,143866105352
2015,4,1759.461289764706,18694.0761303529,141545733763
2015,3,278.03981364705885,16934.6148405882,136599789310
2015,2,313.9955256470588,16656.5750269412,129068869743
2015,1,694.6988036470589,18184.3110444706,121978050352
2014,4,749.7994023529412,18184.3110444706,119602482404
2014,3,790.5499791764706,15774.3955410588,119959893664
2014,2,646.3926791764706,14983.8455618824,119057747630
2014,1,659.4003228235295,16158.8679368235,106603780027
2013,4,740.5274231764706,15499.467614,109482036300
2013,3,846.5806130588235,14758.8320509412,107525105317
2013,2,430.9120802352941,13912.2514378824,110695259710
2013,1,538.6529425882353,15283.7011162353,100614685214
