year,quarter,EPS,BVPS,Revenue
2025,3,61.52241307435732,11394.4892009706,256868641985
2025,2,60.676527586864346,11332.9667878963,322405671591
2025,1,68.20320161218089,11272.2902603094,232023930234
2024,4,29.989217568046993,11204.0870586972,245851372229
2024,3,66.67417930877149,11174.0978411292,256146295843
2024,2,90.89854993288155,11107.4236618204,269620126853
2024,1,113.26433661402967,13667.2412893292,281403917361
2023,4,148.39794959517556,13553.9764213282,338364676504
2023,3,97.35104637358259,13416.912857817,212348674744
2023,2,35.497570355667456,13322.5458855878,735599598268
2023,1,207.39086814857143,14597.5733547343,583923408310
2022,4,152.26296397142858,14390.1824865857,687833450400
2022,3,105.47232454285714,14316.3348984114,765638260734
2022,2,207.28895704857143,14210.8625738686,1215033715078
2022,1,310.69726064285715,15530.8383981029,1470017676158
2021,4,1590.993786417143,15239.4007766286,2298790608445
2021,3,186.09210738571429,13574.1921714286,2997978817994
2021,2,67.64110777714286,13709.8303791029,2070436790510
2021,1,861.3825121171428,13650.2499280257,1118720639445
2020,4,2398.894262602857,4329.5774159086,665889502541
2020,3,161.85892636,1925.7858771371,697807286146
2020,2,0.0,0.0,306319139555
2020,1,0.0,0.0,162445910095
2019,4,281.31827220779223,11209.5252847866,383628189553
