year,quarter,EPS,BVPS,Revenue
2025,3,918.5805171111111,13724.3893276667,261796614434
2025,2,1239.1209655555556,12805.8088105556,299053570200
2025,1,720.9807576666667,15392.1316042222,310798963800
2024,4,892.8716703333333,14671.1508465556,343123090608
2024,3,323.2939006111111,13072.1695597778,270446147291
2024,2,1617.9469254444443,12702.6474230556,293081757343
2024,1,230.96914516666666,14064.9712047222,251727437350
2023,4,191.85069177777777,13834.0020595556,264735075931
2023,3,221.38178494444443,13505.7766256667,106252130231
2023,2,517.4159933888889,13284.3985073889,312385733624
2023,1,814.4951282777778,17974.8219526667,283341700170
2022,4,1672.9847837777777,17160.3268243333,301020615766
2022,3,2154.980270833333,14672.6981595,327214118102
2022,2,2519.710790722222,15017.7178886667,316680830277
2022,1,1776.8959868333334,16855.7739104444,297246840229
2021,4,1605.170433,15078.8779236111,281300472504
2021,3,2549.7225118888887,14336.1157453333,236361213784
2021,2,2678.620410833333,14282.7310145556,253167737350
2021,1,1318.4617115555557,14387.4457623889,240614767390
2020,4,1436.9184131666666,13068.9840508333,219229498260
2020,3,722.4446451666666,11779.7841715556,168557950329
2020,2,432.7402323888889,11057.3395263889,175883990273
2020,1,235.7104051111111,14567.751278,191825992271
2019,4,531.7464605555556,15832.0408728889,171623946688
2019,3,1262.7190436666667,20984.0584850556,190540204609
2019,2,1916.8402650555556,19999.1172191667,224722977862
2019,1,1357.1944774444444,18082.2769541111,206669036234
2018,4,1977.217338888889,16725.0824766667,191891472019
2018,3,538.4552318333333,16526.9862285,183372609369
2018,2,3123.9091620555555,16003.6388635,238266670906
2018,1,2497.4998851666664,12894.8375681667,237762127388
2017,4,2195.116613611111,18090.7781097222,209196631276
2017,3,2730.7356825555557,17135.0471513333,225991029338
2017,2,2084.197636888889,14372.7810357222,165167004416
2017,1,1892.5604145,15585.3554318889,199664628839
2016,4,1854.2845245,13707.9028842222,207411458902
2016,3,852.3184274444444,11970.0061231111,163733633008
2016,2,0.0,0.0,140201394708
2016,1,0.0,0.0,109145101041
2015,4,-93.74311283333333,11805.3351939444,115785213767
2015,3,0.0,0.0,168054062072
