year,quarter,EPS,BVPS,Revenue
2025,3,765.8937702303068,17081.7434846514,250596017840
2025,2,292.9379045478961,16315.8497144211,221641340306
2025,1,1445.3533054263016,18125.0607965083,189626273517
2024,4,77.82524873358912,16679.8195356165,232111709703
2024,3,315.38110256582786,16601.9942869195,269621649008
2024,2,379.3469512055385,16286.6131843537,261166920693
2024,1,174.9000480610962,17997.9297602885,202569842277
2023,4,-497.46038972374436,17823.0297122274,182231323663
2023,3,531.1698498669612,18358.1247857939,262414493253
2023,2,648.3753265969946,17826.9549359269,324318276213
2023,1,438.3088393565568,20234.9580546367,210637378917
2022,4,-1075.4660173533503,19816.9184747868,241145819584
2022,3,1410.154172329976,20684.3092752175,255100042091
2022,2,274.9558769065182,19274.1551029801,220910593279
2022,1,405.8148846463146,19395.7513793792,213870473968
2021,4,842.4631446501417,23737.2369063792,194468002147
2021,3,874.0024415687573,22026.9800222207,161682327178
2021,2,810.6238626378188,21943.5275232361,198784209021
2021,1,886.7851778354888,30653.2549700762,163985850549
2020,4,1800.6715563193031,27540.3416361096,182353972213
2020,3,1470.8876047965596,19583.3144765626,141283074078
2020,2,874.7340052827572,20942.6097395623,138632578437
2020,1,1953.3167115789474,26489.5718274436,144153097398
2019,4,1750.7066110526316,24536.2551158647,148104430026
2019,3,3000.965421954887,22592.8751465414,152343143309
2019,2,0.0,0.0,158935410217
2019,1,0.0,0.0,109833114140
2018,4,1099.109885112782,17877.1160782707,153590917356
2018,3,1750.5478668421053,0.0,133526378653
2017,4,0.0,0.0,73440211714
