year,quarter,EPS,BVPS,Revenue
2025,3,49.2659292,4584.71376095,182191335242
2025,2,155.1354272,4535.44783175,287537497248
2025,1,437.99006725,4380.31240455,450036972181
2024,4,1181.05562335,3942.3223373,238265585873
2024,3,543.7675251,2833.6843392,592854440736
2024,2,468.70148485,2289.9168141,920238386894
2024,1,280.174406,1821.21532925,804794692858
2023,4,133.54124945,1541.04092325,447468810033
2023,3,155.56415565,1351.40877465,412667814100
2023,2,-62.7686431,1195.844619,121963474222
2023,1,-86.75118485,1715.09531495,126154212245
2022,4,-146.8060816,1801.8464998,116561375836
2022,3,-311.34335705,1829.4689292,21298812925
2022,2,170.5144423,2140.81228625,266944374394
2022,1,181.59450485,1970.56784395,219705616100
2021,4,641.3719199,1788.9733391,511568351988
2021,3,467.29541025,1305.5134656,346391224238
2021,2,545.92868895,838.21805535,374586089999
2021,1,98.68049775,292.2893664,320191649134
2020,4,69.53259735,193.60886865,283728176354
2020,3,237.0662773,124.0762713,93806341232
2020,2,95.66073905,0.0,184169028532
2020,1,83.5723785,0.0,315958108278
2019,4,-847.3385126,0.0,145411570021
2019,3,-152.9491487,555.11538905,365229694965
2019,2,-134.76038805,708.06453775,430568771060
2019,1,-380.08006705,842.8249258,132565512189
2018,4,-316.73247575,1222.90499285,315029557848
2018,3,-64.6940888,1582.9887125,643694544884
2018,2,151.2802177,1647.6828013,439545405785
2018,1,272.5007284,1496.4025836,216629957252
2017,4,-148.7343011,1223.9018552,239959589786
2017,3,1155.8433271,1356.64266985,397839094291
2017,2,0.0,0.0,429386494258
2017,1,0.0,0.0,447297130889
2016,4,689.5918129,0.0,424549270231
