year,quarter,EPS,BVPS,Revenue
2025,3,548.1666567355079,14416.8948222383,7731830000000
2025,2,616.817191165875,14470.2664101248,7383293000000
2025,1,638.4254222510206,14947.8246686267,6801668000000
2024,4,644.6935049789145,14229.7476608125,6858748000000
2024,3,523.4855907504985,13743.9765485044,6323523000000
2024,2,576.3002438515828,13478.2359578531,6232915000000
2024,1,664.4139441916005,15529.3946817867,6533452000000
2023,4,224.34781332094997,14872.09136217,7753240000000
2023,3,573.5923506110998,14709.0398125114,6895220000000
2023,2,587.3384983041938,14074.0580856198,7195561000000
2023,1,641.9056720223148,15289.6791985924,6715263000000
2022,4,960.5327781712558,20381.8176082897,6022919000000
2022,3,1082.1027683548525,19369.1743741974,5406245000000
2022,2,1094.0154818302053,18339.1820617636,5351332000000
2022,1,821.4923255253177,17310.1823174005,5030519000000
2021,4,831.4388691281265,16429.2585561715,4732232000000
2021,3,701.6754507939927,15652.9438830873,4236076000000
2021,2,1081.4027309946464,20124.6377780209,4365049000000
2021,1,1061.9194074433178,16749.3698224128,4093460000000
2020,4,1057.1143414822286,16230.6073158328,3954780000000
2020,3,767.2220742691098,14964.363119196,3511693000000
2020,2,1001.5636688519577,17721.1961965685,3547922000000
2020,1,991.0796111775167,16976.8464711337,3483516000000
2019,4,1434.3430224224248,16011.6445170895,3178731000000
2019,3,758.9673097898232,14407.9335265124,3059141000000
2019,2,741.8774732762612,13649.0714705649,2907511000000
2019,1,825.3667567111271,13722.3027387231,2708912000000
2018,4,605.0473142727348,12487.6796310817,2564001000000
2018,3,553.2751651048472,11994.2970219551,2356118000000
2018,2,459.8048007493081,14502.7976144621,2295074000000
2018,1,770.1606506308669,12458.0883089229,2161384000000
2017,4,435.72366115645343,11428.6151994872,1998138000000
2017,3,0.0,0.0,1952434000000
2017,2,0.0,0.0,1762486000000
2017,1,0.0,0.0,1611547000000
2016,4,386.4206480369661,9725.0665641922,1528604000000
2016,3,0.0,0.0,1333858000000
2016,1,0.0,0.0,1124353000000
2015,4,228.16483025039776,8646.2432432432,970593134887
2015,2,0.0,0.0,761080865113
2015,1,0.0,0.0,738133000000
2014,2,251.0340750054054,7152.179009281,542140106809
2014,1,216.52243532072072,6897.4758158522,562086871312
