year,quarter,EPS,BVPS,Revenue
2025,3,-1096.9881050977287,18004.7900568771,40012678458
2025,2,-8.369448809937433,19101.7781451413,38168674775
2025,1,11.203806462994535,19594.3151965617,27989877062
2024,4,101.8542644694209,19583.1113900987,44232400503
2024,3,250.40512981337685,19481.2571256292,47115129218
2024,2,54.91702202228489,19230.8519958159,47567768432
2024,1,105.50979475225098,19478.938343191,34909012799
2023,4,233.11487531074678,20173.4285484388,53631236115
2023,3,440.4809835085366,19916.481441717,59951937224
2023,2,478.60780018207134,19476.0004582084,63958413652
2023,1,98.86796358842177,19521.46418113,52373762322
2022,4,251.58578042221163,20622.5962175416,82251864269
2022,3,585.4976927976772,20371.0104371194,86450207058
2022,2,427.5147224287134,19785.5127443217,87709918137
2022,1,672.3686285124824,19985.2481095956,60864029261
2021,4,613.954466336999,20512.8794810832,70124386626
2021,3,-183.68469637715705,19898.9250147462,34401575032
2021,2,766.8218878860599,20082.6097111233,73135669686
2021,1,939.3086633040026,20268.7345995171,63792890935
2020,4,541.2116175531872,20529.4259362131,70417230327
2020,3,431.25357375640687,19988.2143186599,76583870868
2020,2,961.8883892138881,19556.9607449035,89125511645
2020,1,598.5249797661083,19192.1258112074,64293385101
2019,4,359.9326706312974,20093.6008314412,122914264858
2019,3,550.5884795088922,19733.6681608099,92546797980
2019,2,1020.2912520570562,19183.0796807961,99502181269
2019,1,605.7070475890358,18783.2627633436,78501896297
2018,4,562.0056333376427,19677.5557157546,110206293844
2018,3,805.7910047726398,19118.8217128174,110591001187
2018,2,737.8258543685006,18313.0307080448,106707354363
2018,1,434.0418567171134,18083.3505896186,74509561856
2017,4,722.4336755924726,19140.090651611,92551827245
2017,3,945.7277119138231,18417.5258372845,93699871239
2017,2,850.6025587287864,17479.9764905176,79946790686
2017,1,782.97886181161,17183.4269047792,80811516162
2016,4,540.3908315893806,17894.2474625973,84661305292
2016,3,853.7186431913123,17372.9422168072,83380473727
2016,2,1168.9218875830566,16543.7860381273,93902431842
2016,1,1026.6942537767686,16430.3498353233,90768822198
2015,4,901.4513602157923,16403.8864253211,98529795507
2015,3,1104.240623392399,15501.7648869859,101423696299
2015,2,1018.7150216277072,14407.0734001096,105799371003
2015,1,625.138606534638,14570.0674869016,84114695190
2014,4,314.47709058858067,14072.0254780383,91471747551
2014,3,675.9365620362365,13704.3224194886,98479549793
2014,2,799.7860700260987,13028.3858574524,107197132624
2014,1,428.179639419257,13298.9371333659,81050883895
2013,4,440.6705409014148,12870.7575994928,87145413548
2013,3,647.0300432890814,12279.2428917093,79460089485
2013,2,839.2332656289138,11531.7154315804,92653759981
2013,1,334.16725651322577,10699.7395995693,73197129977
