year,quarter,EPS,BVPS,Revenue
2025,3,1595.837449845679,21516.0589984568,211066362880
2025,2,1846.6402745627572,20999.8592800926,220307472608
2025,1,1065.370727494856,20775.1122668467,179866592871
2024,4,1679.0338360339506,20840.883900463,212040276308
2024,3,1562.8541668595678,19372.2459347994,199653365592
2024,2,1287.273069380144,18885.1714747299,189306687933
2024,1,890.1195741383744,19219.7709538966,177436308816
2023,4,1194.7113721064816,19460.2793375772,188524612971
2023,3,1401.3810269418725,18387.7573318544,193226489693
2023,2,1456.3007383616255,18062.1560117027,184736893973
2023,1,1315.3998890817902,17814.0938278678,175265107844
2022,4,1396.2334624485597,17622.8918554527,192692559997
2022,3,2003.180770961934,16255.4757413194,211105169046
2022,2,1811.8313042052469,15331.932701839,188989897782
2022,1,715.2673614326131,14719.2033568673,131040176508
2021,4,346.2927957175926,14003.9359954347,116315974627
2021,3,-834.4053823302469,13651.3090601209,53902018028
2021,2,78.94335570987654,14493.4304918338,115552356329
2021,1,1113.4443206018518,16041.0923476723,144615550469
2020,4,786.990776105967,15842.0582498071,173553594824
2020,3,1000.9202536651235,15099.0083043981,146995196686
2020,2,934.8572784207819,14767.4923897248,113858507106
2020,1,703.706616255144,15145.4018188657,136312708870
2019,4,676.2155414737655,14474.6904331919,173239209844
2019,3,1829.0854563400205,15073.8829574331,180818932841
2019,2,1359.0130160751028,14463.8337822145,167075822817
2019,1,1089.0278852237655,14432.6101659594,139515528090
2018,4,762.1716204989712,13435.6286496914,155927873290
2018,3,0.0,0.0,153970435507
2018,2,1239.3712591949588,13766.1334014918,145728805221
2018,1,964.7985113168725,14059.5245894419,125999643817
2017,4,584.2362604166667,14178.9185199331,143955918855
2017,3,0.0,0.0,145722941291
2017,2,0.0,0.0,135812846380
2017,1,0.0,0.0,117507791768
2016,3,0.0,0.0,128538425394
2016,2,0.0,0.0,116149585123
2016,1,0.0,0.0,103770927959
