year,quarter,EPS,BVPS,Revenue
2025,3,1002.4631843409462,16838.8867636702,149309290040
2025,2,1087.3287849131773,15836.4235793293,128690014152
2025,1,1145.4220390157564,15921.0114014598,112587356541
2024,4,1263.0812359628987,14775.589362444,228101684218
2024,3,1030.296878509451,14060.9583329321,148062736236
2024,2,610.8408284731076,13030.648697466,107923699742
2024,1,542.0349121375381,14078.7742168156,78078905397
2023,4,804.013359100013,13536.739304678,225138123012
2023,3,836.1289117259436,12990.5570858076,120603214782
2023,2,363.7011809345203,12191.8935387569,91095829383
2023,1,829.941736337571,11828.1923578224,96433211102
2022,4,279.68266341577197,11069.603408509,237481179575
2022,3,94.31193434089937,11107.1500769969,178803353293
2022,2,18.92750197170848,11173.7518839365,123812737331
2022,1,53.57367000109661,11154.8243819648,104546923892
2021,4,298.3034383576173,11129.3497354702,284056132377
2021,3,126.69971974783262,10816.7436134947,140045617919
2021,2,-29.874927837024465,10513.0949763854,121186599554
2021,1,48.969314330250974,10542.9699042224,100995772961
2020,4,1615.5125209810726,10494.0005898922,295349530452
2020,3,-163.5636433328754,9402.4504539472,158041905745
2020,2,-841.8390551999322,9566.2059667789,88791350516
2020,1,-580.9050288972231,10428.8467290807,89596618261
2019,4,1403.4762693068858,11011.0062857141,199380348132
2019,3,-225.74600157451943,9634.6451420404,136912780266
2019,2,-415.8014053183359,9873.3541597926,110961586546
2019,1,-717.3171168498642,10275.1060533576,113350881644
2018,4,401.2436116776395,11012.4677371695,220950972238
2018,3,137.2587095077617,12360.8000092465,166836170282
2018,2,-189.04130001968056,12223.5412997387,129456282053
2018,1,-239.12603123884585,12412.5825997584,138744087240
2017,4,169.4599399902268,12651.7086309972,265359043934
2017,3,-10.104856414177208,12489.7333252433,150127845324
2017,2,-103.50988169599262,12499.8381816575,170334166700
2017,1,66.06958502125728,12603.3480633535,125976980744
2016,4,456.71198841840675,12256.0900514883,246544342301
2016,3,629.7463770149388,11797.9958494745,158276839376
2016,2,231.63612049295878,12274.4496287351,97526723704
2016,1,49.12637513342821,12042.8135082421,92258857007
2015,4,343.3842118855198,11993.6871331087,249425148546
2015,3,400.1921788878249,11657.4921534601,117846326742
2015,2,349.4623813083198,12883.8564161629,143061246346
2015,1,50.049227653380484,12534.3940348546,59114968399
2014,4,1129.8860968991453,12493.71114837,226860442755
2014,3,143.74397016498136,11315.378533972,116462449539
2014,2,253.61598859164658,11257.3216056501,107249606216
2014,1,103.59288898386775,11003.7056170585,87464823298
2013,4,618.384346935682,12643.7031262983,285442604168
2013,3,787.2873863520606,12024.5719308755,133304687722
2013,2,227.01578164020168,12434.6770433335,86490191604
2013,1,76.98514311009531,12330.3757350546,44709062802
