year,quarter,EPS,BVPS,Revenue
2025,3,113.59038018181818,13570.8264372727,16994755080
2025,2,41.188711454545455,13957.2360570909,22227861983
2025,1,-71.90827333333333,13944.7991492121,4241898422
2024,4,57.36552242424242,14016.7074225455,22891259661
2024,3,76.48404024242424,14559.3419001212,4826977273
2024,2,211.94218066666667,14482.8578598788,10045409092
2024,1,64.94830812121212,14341.7514077576,4968818181
2023,4,270.3056404848485,14276.8030996364,51040470850
2023,3,198.14875351515153,15306.4974591515,9950636364
2023,2,281.02070375757575,15108.3487056364,14490272726
2023,1,135.97150896969697,14978.4444981818,8285727272
2022,4,420.3375439393939,14842.4729892121,20698818180
2022,3,160.3315501818182,14422.1354452727,8295727272
2022,2,1039.9064589090908,15561.8038950909,45236272724
2022,1,268.38065054545456,14676.9811887879,12416090908
2021,4,521.3136018181818,14408.6005382424,18636636362
2021,3,204.87956933333334,13887.2869364242,20077806312
2021,2,804.5925383636363,13682.4073670909,42419545453
2021,1,407.76119806060603,14289.967176303,28789202642
2020,4,278.92201218181816,12314.4941432121,10755320842
2020,3,542.2496736669486,13501.4396094954,29577687135
2020,2,576.7235042612198,12959.1899358285,52483250524
2020,1,58.89491398167388,13582.4664315672,5647727275
2019,4,870.55459097492,13647.3253589116,71859441547
2019,3,0.0,0.0,6153595225
2019,2,0.0,0.0,37361224870
2019,1,-76.05629553126309,12024.3460469076,0
2018,4,158.78086434455514,13435.3261080814,8281818182
2018,3,475.1712531928349,13274.8620003367,21227272725
2018,2,710.3699487503799,12799.6907471439,29242996637
2018,1,340.54176145930006,12089.3207983935,29563958690
2017,4,805.5208786079377,11359.2435253333,41062445114
2017,3,86.39233856506539,10645.9503935758,7974009721
2017,2,268.30595277205146,10569.4495065455,22438642874
2017,1,58.20965974577779,10331.8631218788,4980910908
2016,4,233.07982032518322,10745.938827697,16283652102
2016,3,0.0,0.0,1102989091
2016,2,0.0,0.0,21065888528
2016,1,0.0,0.0,0
2015,4,931.716686172732,11153.3814900606,22429284997
2015,3,0.0,0.0,2673942850
2015,2,0.0,0.0,0
2015,1,0.0,0.0,0
2014,4,-16.372825644879345,12354.695372303,1836107446
2014,3,535.1914131515151,12414.3619662424,2037098767
2014,2,825.6455081212122,11879.1705530909,18971766601
2014,1,48.60489957575758,12204.6459230909,42835382962
2013,4,292.82754678787876,12162.1016295758,51546352195
2013,3,-1.822271393939394,11942.8507707879,30922598173
2013,2,489.8889886060606,11944.6730421818,74148030866
2013,1,110.45315266666667,13517.5062061818,51438034056
