year,quarter,EPS,BVPS,Revenue
2025,3,868.233558312311,22540.5094083168,199821651910
2025,2,1019.890388882074,21672.2758500045,231566371076
2025,1,938.2704126422008,23123.7909010181,186705963797
2024,4,908.9285017520093,22185.5204883759,232024990154
2024,3,977.8254997359986,21276.5919866239,206834955470
2024,2,908.4935967658495,20432.1005313362,190253626689
2024,1,925.8088079136422,21966.7676834276,192957647163
2023,4,869.2341279153488,21040.958875514,232704957174
2023,3,988.6168364897947,20171.7247474653,212333915752
2023,2,1019.4934104981893,19183.1079109755,228549471749
2023,1,865.2675646270113,20890.2540437549,201220246376
2022,4,831.4754628024683,20024.9864791279,253538288474
2022,3,840.0863340604483,19193.5110164588,219206745550
2022,2,948.1240403948821,18353.4246823983,273586385064
2022,1,1015.2277220145174,19977.4798369591,249120045348
2021,4,1013.892323692393,18962.2521149446,270113325212
2021,3,857.2029396156779,17948.3597911189,260085825007
2021,2,995.7394394103435,17091.1568515032,273817048930
2021,1,881.4612111264594,18679.2532628174,222854949433
2020,4,771.9040337548466,17797.7920515576,226061877842
2020,3,1012.4938719673172,17025.8880178028,238746762017
2020,2,1039.745935044987,16013.3941458354,239148656454
2020,1,865.0610935258321,17595.0937100998,211222027170
2019,4,887.3934355649897,16730.032616574,248010275532
2019,3,859.0291404220823,15838.9642238092,234964058820
2019,2,0.0,0.0,266929262810
2019,1,0.0,0.0,240147474448
2018,4,929.2485457255772,14892.7376660676,236832615774
2018,3,875.5001434674318,13963.5957875775,238430087799
2018,2,1034.299129862026,13088.0956441101,248149210379
2018,1,878.0813588339138,14804.7133649299,211757533125
2017,4,961.8645620776645,13926.6334110314,219968154511
2017,3,1070.482571640382,12964.7703879428,181232942254
2017,2,899.1615055280295,34735.7618404601,190473910532
2017,1,643.3785178666667,34343.9307954129,171712193813
2016,4,1374.2456345673268,32735.4786030882,191736931927
2016,3,2364.9553198361727,31361.1736083032,163442547857
2016,2,2569.0402068140916,28996.2182884671,173605000202
2016,1,2507.6233646190035,34217.2153271229,171286548137
2015,4,1973.4415922858384,31709.5919625039,183391293690
2015,3,1835.4445209632436,29738.029177107,160557429774
2015,2,2460.7067425913897,27902.5846561437,165943064111
2015,1,2229.20367641348,31241.8808468964,152929548845
2014,4,1748.6954682167168,29012.677170483,180117971784
2014,3,1856.2039244143896,27263.9817022662,156869487947
2014,2,1590.2540692649206,25407.7777778519,139093696546
2014,1,1956.7194143045192,23817.5237085869,133443718295
2013,4,2202.8478301087102,27476.0499801833,185493755050
2013,3,1838.356623974288,25320.4353355962,140953485575
2013,2,1464.7929585741815,23482.0787116219,165160252339
2013,1,1959.9467691381535,22017.2857530478,161597910098
